r_l	I(Rl)
Step Information: V_i=2.5 R_e=100  (Run: 1/4)
1.000000000000005e+002	8.976253e-003
1.258925411794173e+002	8.975683e-003
1.584893192461121e+002	8.974962e-003
1.995262314968889e+002	8.974050e-003
2.511886431509593e+002	8.972893e-003
3.162277660168395e+002	8.971421e-003
3.981071705534993e+002	8.969547e-003
5.011872336272749e+002	8.967151e-003
6.309573444801965e+002	8.964074e-003
7.943282347242857e+002	8.960101e-003
1.000000000000005e+003	8.170376e-003
1.258925411794174e+003	6.516594e-003
1.584893192461122e+003	5.185256e-003
1.995262314968891e+003	4.123115e-003
2.511886431509594e+003	3.277451e-003
3.162277660168397e+003	2.604713e-003
3.981071705534995e+003	2.069790e-003
5.011872336272751e+003	1.644569e-003
6.309573444801968e+003	1.306618e-003
7.943282347242860e+003	1.038062e-003
1.000000000000000e+004	8.246723e-004
Step Information: V_i=5 R_e=200  (Run: 4/4)
1.000000000000000e-006	2.127193e-002
1.258925411794167e-006	2.127193e-002
1.584893192461113e-006	2.127193e-002
1.995262314968880e-006	2.127193e-002
2.511886431509580e-006	2.127193e-002
3.162277660168380e-006	2.127193e-002
3.981071705534973e-006	2.127193e-002
5.011872336272724e-006	2.127193e-002
6.309573444801935e-006	2.127193e-002
7.943282347242818e-006	2.127193e-002
1.000000000000000e-005	2.127193e-002
1.258925411794168e-005	2.127193e-002
1.584893192461115e-005	2.127193e-002
1.995262314968881e-005	2.127193e-002
2.511886431509582e-005	2.127193e-002
3.162277660168382e-005	2.127193e-002
3.981071705534976e-005	2.127193e-002
5.011872336272727e-005	2.127193e-002
6.309573444801939e-005	2.127193e-002
7.943282347242823e-005	2.127193e-002
1.000000000000001e-004	2.127193e-002
1.258925411794169e-004	2.127193e-002
1.584893192461116e-004	2.127193e-002
1.995262314968882e-004	2.127193e-002
2.511886431509584e-004	2.127193e-002
3.162277660168384e-004	2.127193e-002
3.981071705534979e-004	2.127193e-002
5.011872336272731e-004	2.127193e-002
6.309573444801943e-004	2.127193e-002
7.943282347242828e-004	2.127193e-002
1.000000000000002e-003	2.127193e-002
1.258925411794169e-003	2.127193e-002
1.584893192461117e-003	2.127193e-002
1.995262314968883e-003	2.127193e-002
2.511886431509585e-003	2.127193e-002
3.162277660168385e-003	2.127193e-002
3.981071705534980e-003	2.127193e-002
5.011872336272732e-003	2.127193e-002
6.309573444801944e-003	2.127193e-002
7.943282347242829e-003	2.127193e-002
1.000000000000002e-002	2.127193e-002
1.258925411794170e-002	2.127193e-002
1.584893192461117e-002	2.127193e-002
1.995262314968884e-002	2.127193e-002
2.511886431509586e-002	2.127193e-002
3.162277660168387e-002	2.127193e-002
