time	V(vo)	V(n003)
Step Information: R_e=220  (Run: 1/2)
4.576381249275966e-005	-4.381014e-003	3.945538e-003
4.595912499275966e-005	7.852456e-003	3.767649e-003
4.654506249275965e-005	4.424758e-002	3.230688e-003
4.732631249275965e-005	9.199924e-002	2.508055e-003
4.849818749275964e-005	1.617641e-001	1.413325e-003
4.986537499275963e-005	2.399800e-001	1.268796e-004
5.142787499275962e-005	3.247023e-001	-1.343936e-003
5.318568749275961e-005	4.135218e-001	-2.982431e-003
5.494349999275960e-005	4.950201e-001	-4.584582e-003
5.689662499275959e-005	5.766326e-001	-6.298399e-003
5.904506249275958e-005	6.553122e-001	-8.073228e-003
6.138881249275957e-005	7.278467e-001	-9.840831e-003
6.373256249275964e-005	7.866544e-001	-1.139541e-002
6.627162499275971e-005	8.351763e-001	-1.280024e-002
6.881068749275978e-005	8.682508e-001	-1.387998e-002
7.134974999275986e-005	8.861573e-001	-1.460721e-002
7.388881249275993e-005	8.890280e-001	-1.496346e-002
7.642787499276000e-005	8.768081e-001	-1.493967e-002
7.896693749276007e-005	8.492475e-001	-1.453647e-002
8.150599999276015e-005	8.059248e-001	-1.376407e-002
8.384974999276021e-005	7.514848e-001	-1.274023e-002
8.599818749276028e-005	6.890159e-001	-1.155879e-002
8.814662499276034e-005	6.142472e-001	-1.016704e-002
9.009974999276039e-005	5.354887e-001	-8.740549e-003
9.185756249276044e-005	4.558722e-001	-7.343653e-003
9.361537499276049e-005	3.681878e-001	-5.857267e-003
9.517787499276054e-005	2.837841e-001	-4.475531e-003
9.654506249276058e-005	2.052812e-001	-3.230688e-003
9.771693749276061e-005	1.348382e-001	-2.144364e-003
9.869349999276064e-005	7.413676e-002	-1.229965e-003
9.947474999276066e-005	2.441206e-002	-4.949466e-004
9.967006249276067e-005	1.183417e-002	-3.109365e-004
9.986537499276067e-005	-7.985858e-004	-1.268796e-004
1.002559999927607e-004	-2.622067e-002	2.412639e-004
1.012325624927607e-004	-9.059112e-002	1.160502e-003
1.033809999927608e-004	-2.350859e-001	3.162604e-003
1.063106874927609e-004	-4.331769e-001	5.793052e-003
1.088497499927609e-004	-5.987141e-001	7.917482e-003
1.109981874927610e-004	-7.287122e-001	9.560044e-003
1.129513124927611e-004	-8.349309e-001	1.090307e-002
1.149044374927611e-004	-9.265078e-001	1.208210e-002
1.168575624927612e-004	-1.000646e+000	1.307940e-002
1.186153749927612e-004	-1.050548e+000	1.380914e-002
1.203731874927613e-004	-1.083205e+000	1.437060e-002
1.221309999927613e-004	-1.097833e+000	1.475694e-002
1.238888124927614e-004	-1.094142e+000	1.496346e-002
1.256466249927614e-004	-1.072340e+000	1.498762e-002
1.275997499927615e-004	-1.027732e+000	1.480033e-002
1.295528749927615e-004	-9.632164e-001	1.439042e-002
1.315059999927616e-004	-8.809512e-001	1.376407e-002
1.336544374927616e-004	-7.730799e-001	1.283643e-002
1.358028749927617e-004	-6.507782e-001	1.167523e-002
1.383419374927618e-004	-4.932388e-001	1.003093e-002
1.408809999927619e-004	-3.279699e-001	8.131872e-003
1.436153749927619e-004	-1.484770e-001	5.857267e-003
1.449825624927620e-004	-6.023042e-002	4.650882e-003
1.455684999927620e-004	-2.297961e-002	4.122832e-003
1.459591249927620e-004	1.625497e-003	3.767649e-003
1.463497499927620e-004	2.603060e-002	3.410198e-003
1.471309999927620e-004	7.418598e-002	2.689348e-003
1.481075624927621e-004	1.330211e-001	1.779380e-003
1.492794374927621e-004	2.013940e-001	6.788822e-004
1.506466249927621e-004	2.777530e-001	-6.092620e-004
1.522091249927622e-004	3.601036e-001	-2.075372e-003
1.539669374927622e-004	4.460133e-001	-3.700159e-003
1.559200624927623e-004	5.326612e-001	-5.451750e-003
1.578731874927623e-004	6.097503e-001	-7.121342e-003
1.600216249927624e-004	6.833758e-001	-8.833259e-003
1.623653749927625e-004	7.503960e-001	-1.051650e-002
1.647091249927625e-004	8.037471e-001	-1.197210e-002
1.672481874927626e-004	8.464463e-001	-1.325568e-002
1.697872499927627e-004	8.737738e-001	-1.420261e-002
1.723263124927628e-004	8.859617e-001	-1.478884e-002
1.748653749927628e-004	8.830751e-001	-1.499946e-002
1.774044374927629e-004	8.649852e-001	-1.482915e-002
1.799434999927630e-004	8.313724e-001	-1.428221e-002
1.822872499927630e-004	7.861609e-001	-1.345493e-002
1.846309999927631e-004	7.268888e-001	-1.233639e-002
1.867794374927632e-004	6.598502e-001	-1.107578e-002
1.889278749927632e-004	5.804210e-001	-9.613638e-003
1.908809999927633e-004	4.974102e-001	-8.131872e-003
1.926388124927633e-004	4.140251e-001	-6.693032e-003
1.942013124927634e-004	3.332350e-001	-5.345022e-003
1.957638124927634e-004	2.465109e-001	-3.945538e-003
1.963497499927634e-004	2.125530e-001	-3.410198e-003
1.975216249927635e-004	1.424611e-001	-2.326385e-003
1.984981874927635e-004	8.201085e-002	-1.413325e-003
1.992794374927635e-004	3.245643e-002	-6.788822e-004
1.996700624927635e-004	7.319820e-003	-3.109365e-004
1.998653749927635e-004	-5.327639e-003	-1.268796e-004
2.000000000000000e-004	-1.407019e-002	1.929747e-017
