time	V(vo)	V(n003)
Step Information: R_e=220  (Run: 1/2)
9.728996594063052e-005	1.253722e-001	-2.541822e-003
1.073505406025858e-004	-4.860086e-001	6.684050e-003
1.132200900387612e-004	-8.255165e-001	1.107548e-002
1.169235283489229e-004	-9.875980e-001	1.310973e-002
1.195001882417940e-004	-1.059235e+000	1.411327e-002
1.213849658773304e-004	-1.086530e+000	1.461472e-002
1.229709678499957e-004	-1.091979e+000	1.487827e-002
1.245103886547671e-004	-1.081785e+000	1.499290e-002
1.263179720156669e-004	-1.051044e+000	1.494860e-002
1.286451321104004e-004	-9.826107e-001	1.460830e-002
1.324154656567547e-004	-8.164425e-001	1.340108e-002
1.384079814770778e-004	-4.761125e-001	9.984566e-003
1.473707319827251e-004	5.622289e-002	2.466771e-003
1.574021906609835e-004	5.579867e-001	-6.727593e-003
1.632507370150797e-004	7.606875e-001	-1.109493e-002
1.669441128908733e-004	8.384436e-001	-1.311914e-002
1.695149777563311e-004	8.705786e-001	-1.411799e-002
1.713959600811627e-004	8.832153e-001	-1.461705e-002
1.729846406220576e-004	8.869148e-001	-1.487990e-002
1.745134392609969e-004	8.844162e-001	-1.499299e-002
1.763191067707447e-004	8.737667e-001	-1.494851e-002
1.786469774077232e-004	8.468899e-001	-1.460791e-002
1.824184400969849e-004	7.706153e-001	-1.339982e-002
1.884126255203427e-004	5.678289e-001	-9.981299e-003
1.973773179980947e-004	1.173652e-001	-2.460648e-003
2.074063942654412e-004	-4.930488e-001	6.731134e-003
2.132532325588487e-004	-8.310630e-001	1.109652e-002
2.169457896346674e-004	-9.922475e-001	1.311991e-002
2.195161826650073e-004	-1.063393e+000	1.411837e-002
2.213968558624282e-004	-1.090395e+000	1.461724e-002
2.229857546166534e-004	-1.095678e+000	1.488003e-002
2.245136878263569e-004	-1.085411e+000	1.499300e-002
2.263191992308234e-004	-1.054541e+000	1.494850e-002
2.286471277627458e-004	-9.858945e-001	1.460788e-002
2.324186824533468e-004	-8.193411e-001	1.339972e-002
2.384130039084676e-004	-4.783868e-001	9.981032e-003
2.473778545865438e-004	5.471078e-002	2.460149e-003
2.574067366956437e-004	5.568253e-001	-6.731423e-003
2.632534358572155e-004	7.596290e-001	-1.109665e-002
2.669459262336446e-004	8.374310e-001	-1.311997e-002
2.695162808264545e-004	8.695893e-001	-1.411840e-002
2.713969288404165e-004	8.822374e-001	-1.461725e-002
2.729858453719635e-004	8.859442e-001	-1.488004e-002
2.745137080766757e-004	8.834497e-001	-1.499300e-002
2.763192067634307e-004	8.727987e-001	-1.494850e-002
2.786471400119809e-004	8.459091e-001	-1.460787e-002
2.824187021978066e-004	7.695891e-001	-1.339971e-002
2.884130347352135e-004	5.666779e-001	-9.981011e-003
2.973778983014607e-004	1.159674e-001	-2.460108e-003
3.074067645924723e-004	-4.946932e-001	6.731446e-003
3.132534524194209e-004	-8.327923e-001	1.109666e-002
3.169459373620440e-004	-9.939838e-001	1.311998e-002
3.195162888234474e-004	-1.065110e+000	1.411840e-002
3.213969347857729e-004	-1.092084e+000	1.461725e-002
3.229858527655980e-004	-1.097336e+000	1.488004e-002
3.245137097264252e-004	-1.087035e+000	1.499300e-002
3.263192073770959e-004	-1.056116e+000	1.494850e-002
3.286471410098993e-004	-9.873980e-001	1.460787e-002
3.324187038063447e-004	-8.207135e-001	1.339971e-002
3.384130372466009e-004	-4.795420e-001	9.981009e-003
3.473779018628179e-004	5.384944e-002	2.460105e-003
3.574067668651626e-004	5.562166e-001	-6.731448e-003
3.632534537687059e-004	7.591190e-001	-1.109666e-002
3.669459382686494e-004	8.369600e-001	-1.311998e-002
3.695162894749442e-004	8.691360e-001	-1.411841e-002
3.713969352701276e-004	8.817926e-001	-1.461725e-002
3.729858533679406e-004	8.855039e-001	-1.488004e-002
3.745137098608265e-004	8.830113e-001	-1.499300e-002
3.763192074270898e-004	8.723598e-001	-1.494850e-002
3.786471410911976e-004	8.454648e-001	-1.460787e-002
3.824187039373887e-004	7.691256e-001	-1.339971e-002
3.884130374511980e-004	5.661614e-001	-9.981009e-003
3.973779021529537e-004	1.153437e-001	-2.460105e-003
4.074067670503135e-004	-4.954365e-001	6.731448e-003
4.132534538786292e-004	-8.335812e-001	1.109666e-002
4.169459383425085e-004	-9.947798e-001	1.311998e-002
4.195162895280201e-004	-1.065899e+000	1.411841e-002
4.213969353095869e-004	-1.092862e+000	1.461725e-002
4.229858534170120e-004	-1.098101e+000	1.488004e-002
4.245137098717759e-004	-1.087784e+000	1.499300e-002
4.263192074311626e-004	-1.056844e+000	1.494850e-002
4.286471410978207e-004	-9.880928e-001	1.460787e-002
4.324187039480643e-004	-8.213492e-001	1.339971e-002
4.384130374678658e-004	-4.800790e-001	9.981009e-003
4.473779021765900e-004	5.344685e-002	2.460105e-003
4.574067670653971e-004	5.559308e-001	-6.731448e-003
4.632534538875842e-004	7.588789e-001	-1.109666e-002
4.669459383485256e-004	8.367378e-001	-1.311998e-002
4.695162895323442e-004	8.689219e-001	-1.411841e-002
4.713969353128016e-004	8.815823e-001	-1.461725e-002
4.729858534210099e-004	8.852956e-001	-1.488004e-002
4.745137098726680e-004	8.828037e-001	-1.499300e-002
4.763192074314945e-004	8.721517e-001	-1.494850e-002
4.786471410983603e-004	8.452539e-001	-1.460787e-002
4.824187039489342e-004	7.689051e-001	-1.339971e-002
4.884130374692240e-004	5.659148e-001	-9.981009e-003
4.973779021785159e-004	1.396270e-001	-2.460105e-003
5.000000000000000e-004	-1.234502e-002	-1.836970e-017
