Freq.	V(vo)
Step Information: R_e=220  (Run: 1/2)
5.48748012818582e+005	(7.13817895696920e+000dB,1.79982236033780e+002°)
5.88133557758481e+005	(7.13817880627336e+000dB,1.79935628572690e+002°)
6.30345939632597e+005	(7.13817363216925e+000dB,1.79888711806196e+002°)
6.75588050315721e+005	(7.13816333507238e+000dB,1.79841260177713e+002°)
7.24077343935024e+005	(7.13814771681199e+000dB,1.79793045701784e+002°)
7.76046882053323e+005	(7.13812647681029e+000dB,1.79743836697292e+002°)
8.31746453868784e+005	(7.13809920630287e+000dB,1.79693396711113e+002°)
8.91443776815230e+005	(7.13806538047676e+000dB,1.79641483384547e+002°)
9.55425783333690e+005	(7.13802434837729e+000dB,1.79587847291854e+002°)
1.02400000000000e+006	(7.13797532038994e+000dB,1.79532230745446e+002°)
1.09749602563716e+006	(7.13791735305729e+000dB,1.79474366562175e+002°)
1.17626711551696e+006	(7.13784933093310e+000dB,1.79413976715730e+002°)
1.26069187926519e+006	(7.13776994517443e+000dB,1.79350771354106e+002°)
1.35117610063144e+006	(7.13767766831602e+000dB,1.79284446721515e+002°)
1.44815468787005e+006	(7.13757072498779e+000dB,1.79214684402703e+002°)
1.55209376410665e+006	(7.13744705777201e+000dB,1.79141149458942e+002°)
1.66349290773757e+006	(7.13730428769432e+000dB,1.79063488903487e+002°)
1.78288755363046e+006	(7.13713966854575e+000dB,1.78981330024714e+002°)
1.91085156666738e+006	(7.13695003417286e+000dB,1.78894278618984e+002°)
2.04800000000000e+006	(7.13673173773265e+000dB,1.78801917125783e+002°)
2.19499205127433e+006	(7.13648058175853e+000dB,1.78703802657484e+002°)
2.35253423103393e+006	(7.13619173768421e+000dB,1.78599464777297e+002°)
2.52138375853039e+006	(7.13585965349607e+000dB,1.78488403987057e+002°)
2.70235220126289e+006	(7.13547794719188e+000dB,1.78370088007570e+002°)
2.89630937574010e+006	(7.13503928500935e+000dB,1.78243950691687e+002°)
3.10418752821329e+006	(7.13453524117445e+000dB,1.78109388713411e+002°)
3.32698581547514e+006	(7.13395613713095e+000dB,1.77965758933975e+002°)
3.56577510726092e+006	(7.13329085707032e+000dB,1.77812375467326e+002°)
3.82170313333476e+006	(7.13252663637963e+000dB,1.77648506576176e+002°)
4.09600000000000e+006	(7.13164881912054e+000dB,1.77473371391928e+002°)
4.38998410254865e+006	(7.13064058011562e+000dB,1.77286136452838e+002°)
4.70506846206785e+006	(7.12948260650413e+000dB,1.77085911779145e+002°)
5.04276751706077e+006	(7.12815273383081e+000dB,1.76871748422042e+002°)
5.40470440252577e+006	(7.12662552790597e+000dB,1.76642631669080e+002°)
5.79261875148019e+006	(7.12487180897969e+000dB,1.76397479605450e+002°)
6.20837505642659e+006	(7.12285810617409e+000dB,1.76135137342797e+002°)
6.65397163095028e+006	(7.12054603524995e+000dB,1.75854372746142e+002°)
7.13155021452184e+006	(7.11789158861975e+000dB,1.75553871739380e+002°)
7.64340626666952e+006	(7.11484432622751e+000dB,1.75232233494471e+002°)
8.19199999999999e+006	(7.11134645457316e+000dB,1.74887965542786e+002°)
8.77996820509731e+006	(7.10733177988854e+000dB,1.74519478859926e+002°)
9.41013692413570e+006	(7.10272451976256e+000dB,1.74125082437159e+002°)
1.00855350341215e+007	(7.09743795977718e+000dB,1.73702981302685e+002°)
1.08094088050515e+007	(7.09137292841726e+000dB,1.73251266470837e+002°)
1.15852375029604e+007	(7.08441608705678e+000dB,1.72767916341418e+002°)
1.24167501128532e+007	(7.07643800082474e+000dB,1.72250790333942e+002°)
1.33079432619006e+007	(7.06729098062223e+000dB,1.71697626596758e+002°)
1.42631004290437e+007	(7.05680667522525e+000dB,1.71106040168288e+002°)
1.52868125333390e+007	(7.04479339786914e+000dB,1.70473522450776e+002°)
1.63840000000000e+007	(7.03103317474964e+000dB,1.69797442362428e+002°)
1.75599364101946e+007	(7.01527850832822e+000dB,1.69075049599907e+002°)
1.88202738482714e+007	(6.99724885463042e+000dB,1.68303479408694e+002°)
2.01710700682431e+007	(6.97662683856617e+000dB,1.67479767184189e+002°)
2.16188176101031e+007	(6.95305419883411e+000dB,1.66600850327870e+002°)
2.31704750059208e+007	(6.92612756925069e+000dB,1.65663596802492e+002°)
2.48335002257063e+007	(6.89539410971288e+000dB,1.64664822452604e+002°)
2.66158865238011e+007	(6.86034712706408e+000dB,1.63601321140448e+002°)
2.85262008580874e+007	(6.82042181684776e+000dB,1.62469900770617e+002°)
3.05736250666781e+007	(6.77499131547318e+000dB,1.61267427069149e+002°)
3.27680000000000e+007	(6.72336330122879e+000dB,1.59990875742423e+002°)
3.51198728203892e+007	(6.66477743689301e+000dB,1.58637393406086e+002°)
3.76405476965428e+007	(6.59840399496533e+000dB,1.57204365111191e+002°)
4.03421401364862e+007	(6.52334410557994e+000dB,1.55689503398258e+002°)
4.32376352202062e+007	(6.43863192925328e+000dB,1.54090911485557e+002°)
4.63409500118415e+007	(6.34323941882842e+000dB,1.52407195654961e+002°)
4.96670004514127e+007	(6.23608387857488e+000dB,1.50637546790210e+002°)
5.32317730476022e+007	(6.11603880953520e+000dB,1.48781833243835e+002°)
5.70524017161747e+007	(5.98194823054924e+000dB,1.46840684484172e+002°)
6.11472501333562e+007	(5.83264452347997e+000dB,1.44815561647600e+002°)
6.55359999999999e+007	(5.66696958873728e+000dB,1.42708808285350e+002°)
7.02397456407785e+007	(5.48379878589470e+000dB,1.40523674457034e+002°)
7.52810953930856e+007	(5.28206677272665e+000dB,1.38264303517843e+002°)
8.06842802729724e+007	(5.06079416678836e+000dB,1.35935707055092e+002°)
8.64752704404123e+007	(4.81911314982553e+000dB,1.33543633945612e+002°)
9.26819000236831e+007	(4.55629099410766e+000dB,1.31094485760928e+002°)
9.93340009028254e+007	(4.27174916275624e+000dB,1.28595129972954e+002°)
1.00000000000000e+008	(4.24315349256561e+000dB,1.28351789360016e+002°)
Step Information: R_e=680  (Run: 2/2)
1.00000000000000e+003	(-4.17796005033209e+000dB,-1.24597848165554e+002°)
1.07177346253629e+003	(-3.80115010404491e+000dB,-1.26674451460390e+002°)
1.14869835499704e+003	(-3.44440973749733e+000dB,-1.28769654232261e+002°)
1.23114441334492e+003	(-3.10822064354429e+000dB,-1.30875384465092e+002°)
1.31950791077289e+003	(-2.79288515208026e+000dB,-1.32983061884511e+002°)
1.41421356237310e+003	(-2.49851385094919e+000dB,-1.35083809593949e+002°)
1.51571656651040e+003	(-2.22502041460012e+000dB,-1.37168680207451e+002°)
1.62450479271247e+003	(-1.97212401957786e+000dB,-1.39228883742439e+002°)
1.74110112659225e+003	(-1.73935912651059e+000dB,-1.41256004341651e+002°)
1.86606598307361e+003	(-1.52609183764500e+000dB,-1.43242194056849e+002°)
2.00000000000000e+003	(-1.33154157215002e+000dB,-1.45180334255463e+002°)
2.14354692507259e+003	(-1.15480649258131e+000dB,-1.47064158333909e+002°)
