vin	V(vgs)	V(vo)	I(Rd)
1.931999999999986e+000	1.932000e+000	4.995036e+000	2.482058e-005
1.932999999999985e+000	1.933000e+000	4.994937e+000	2.531571e-005
1.933999999999985e+000	1.934000e+000	4.994836e+000	2.582064e-005
1.934999999999985e+000	1.935000e+000	4.994733e+000	2.633559e-005
1.935999999999985e+000	1.936000e+000	4.994628e+000	2.686073e-005
1.936999999999985e+000	1.937000e+000	4.994521e+000	2.739628e-005
1.937999999999985e+000	1.938000e+000	4.994411e+000	2.794244e-005
1.938999999999985e+000	1.939000e+000	4.994300e+000	2.849941e-005
1.939999999999985e+000	1.940000e+000	4.994186e+000	2.906741e-005
1.940999999999985e+000	1.941000e+000	4.994071e+000	2.964664e-005
1.941999999999984e+000	1.942000e+000	4.993953e+000	3.023735e-005
1.942999999999984e+000	1.943000e+000	4.993832e+000	3.083974e-005
1.943999999999984e+000	1.944000e+000	4.993709e+000	3.145404e-005
1.944999999999984e+000	1.945000e+000	4.993584e+000	3.208050e-005
1.945999999999984e+000	1.946000e+000	4.993456e+000	3.271934e-005
1.946999999999984e+000	1.947000e+000	4.993326e+000	3.337082e-005
1.947999999999984e+000	1.948000e+000	4.993193e+000	3.403517e-005
1.948999999999984e+000	1.949000e+000	4.993057e+000	3.471264e-005
1.949999999999984e+000	1.950000e+000	4.992919e+000	3.540351e-005
1.950999999999983e+000	1.951000e+000	4.992778e+000	3.610801e-005
1.951999999999983e+000	1.952000e+000	4.992635e+000	3.682643e-005
1.952999999999983e+000	1.953000e+000	4.992488e+000	3.755904e-005
1.953999999999983e+000	1.954000e+000	4.992339e+000	3.830611e-005
1.954999999999983e+000	1.955000e+000	4.992187e+000	3.906791e-005
1.955999999999983e+000	1.956000e+000	4.992031e+000	3.984475e-005
1.956999999999983e+000	1.957000e+000	4.991873e+000	4.063691e-005
1.957999999999983e+000	1.958000e+000	4.991711e+000	4.144469e-005
1.958999999999983e+000	1.959000e+000	4.991546e+000	4.226840e-005
1.959999999999982e+000	1.960000e+000	4.991378e+000	4.310835e-005
1.960999999999982e+000	1.961000e+000	4.991207e+000	4.396485e-005
1.961999999999982e+000	1.962000e+000	4.991032e+000	4.483822e-005
1.962999999999982e+000	1.963000e+000	4.990854e+000	4.572879e-005
