vdd	V(vgs)	V(vo)	I(Rd)
Step Information: Vin=2.19  (Run: 1/3)
8.500000000000002e-001	2.230000e+000	1.618200e-002	4.169090e-003
9.000000000000002e-001	2.230000e+000	1.747795e-002	4.412610e-003
9.500000000000003e-001	2.230000e+000	1.884961e-002	4.655752e-003
1.000000000000000e+000	2.230000e+000	2.031204e-002	4.898440e-003
1.050000000000000e+000	2.230000e+000	2.188607e-002	5.140570e-003
1.100000000000000e+000	2.230000e+000	2.360196e-002	5.381990e-003
1.150000000000000e+000	2.230000e+000	2.550671e-002	5.622467e-003
1.200000000000000e+000	2.230000e+000	2.768078e-002	5.861596e-003
1.250000000000000e+000	2.230000e+000	3.028479e-002	6.098576e-003
1.300000000000001e+000	2.230000e+000	3.379691e-002	6.331015e-003
1.350000000000001e+000	2.230000e+000	4.952808e-002	6.502360e-003
1.400000000000001e+000	2.230000e+000	9.952808e-002	6.502360e-003
1.450000000000001e+000	2.230000e+000	1.495281e-001	6.502360e-003
1.500000000000001e+000	2.230000e+000	1.995281e-001	6.502360e-003
1.550000000000001e+000	2.230000e+000	2.495281e-001	6.502360e-003
1.600000000000001e+000	2.230000e+000	2.995281e-001	6.502360e-003
1.650000000000001e+000	2.230000e+000	3.495281e-001	6.502360e-003
1.700000000000001e+000	2.230000e+000	3.995281e-001	6.502360e-003
1.750000000000001e+000	2.230000e+000	4.495281e-001	6.502360e-003
1.800000000000001e+000	2.230000e+000	4.995281e-001	6.502360e-003
1.850000000000001e+000	2.230000e+000	5.495281e-001	6.502360e-003
1.900000000000001e+000	2.230000e+000	5.995281e-001	6.502360e-003
1.950000000000001e+000	2.230000e+000	6.495281e-001	6.502360e-003
2.000000000000001e+000	2.230000e+000	6.995281e-001	6.502360e-003
2.050000000000001e+000	2.230000e+000	7.495281e-001	6.502360e-003
2.100000000000001e+000	2.230000e+000	7.995281e-001	6.502360e-003
2.150000000000000e+000	2.230000e+000	8.495281e-001	6.502360e-003
2.200000000000000e+000	2.230000e+000	8.995281e-001	6.502360e-003
2.250000000000000e+000	2.230000e+000	9.495281e-001	6.502360e-003
2.300000000000000e+000	2.230000e+000	9.995281e-001	6.502360e-003
2.350000000000000e+000	2.230000e+000	1.049528e+000	6.502360e-003
2.400000000000000e+000	2.230000e+000	1.099528e+000	6.502360e-003
2.449999999999999e+000	2.230000e+000	1.149528e+000	6.502360e-003
2.499999999999999e+000	2.230000e+000	1.199528e+000	6.502360e-003
2.549999999999999e+000	2.230000e+000	1.249528e+000	6.502360e-003
2.599999999999999e+000	2.230000e+000	1.299528e+000	6.502360e-003
2.649999999999999e+000	2.230000e+000	1.349528e+000	6.502360e-003
2.699999999999998e+000	2.230000e+000	1.399528e+000	6.502360e-003
2.749999999999998e+000	2.230000e+000	1.449528e+000	6.502360e-003
2.799999999999998e+000	2.230000e+000	1.499528e+000	6.502360e-003
