#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-02-01 11:03:42.560
#Sample rate: 3.33333e+07Hz
#Samples: 4096

Time (s),Vin,Inv1,Inv2,Inv3
-7.263e-05,0,0,1,1
-7.26e-05,0,0,1,1
-7.257e-05,0,0,1,1
-7.254000000000001e-05,0,0,1,1
-7.251000000000001e-05,0,0,1,1
-7.248e-05,0,0,1,1
-7.245e-05,0,0,1,1
-7.242e-05,0,0,1,1
-7.239e-05,0,0,1,1
-7.236000000000001e-05,0,0,1,1
-7.233000000000001e-05,0,0,1,1
-7.230000000000001e-05,0,0,1,1
-7.227e-05,0,0,1,1
-7.224e-05,0,0,1,1
-7.221e-05,0,0,1,1
-7.218e-05,0,0,1,1
-7.215000000000001e-05,0,0,1,1
-7.212000000000001e-05,0,0,1,1
-7.209000000000001e-05,0,0,1,1
-7.206e-05,0,0,1,1
-7.203e-05,0,0,1,1
-7.2e-05,0,0,1,1
-7.197e-05,0,0,1,1
-7.194000000000001e-05,0,0,1,1
-7.191000000000001e-05,0,0,1,1
-7.188e-05,0,0,1,1
-7.185e-05,0,0,1,1
-7.182e-05,0,0,1,1
-7.179e-05,0,0,1,1
-7.176e-05,0,0,1,1
-7.173000000000001e-05,0,0,1,1
-7.170000000000001e-05,0,0,1,1
-7.167e-05,0,0,1,1
-7.164e-05,0,0,1,1
-7.161e-05,0,0,1,1
-7.158e-05,0,0,1,1
-7.155e-05,0,0,1,1
-7.152000000000001e-05,0,0,1,1
-7.149000000000001e-05,0,0,1,1
-7.146e-05,0,0,1,1
-7.143e-05,0,0,1,1
-7.14e-05,0,0,1,1
-7.137e-05,0,0,1,1
-7.134e-05,0,0,1,1
-7.131000000000001e-05,0,0,1,1
-7.128000000000001e-05,0,0,1,1
-7.125e-05,0,0,1,1
-7.122e-05,0,0,1,1
-7.119e-05,0,0,1,1
-7.116e-05,0,0,1,1
-7.113000000000001e-05,0,0,1,1
-7.110000000000001e-05,0,0,1,1
-7.107000000000001e-05,0,0,1,1
-7.104e-05,0,0,1,1
-7.101e-05,0,0,1,1
-7.098e-05,0,0,1,1
-7.095e-05,0,0,1,1
-7.092000000000001e-05,0,0,1,1
-7.089000000000001e-05,0,0,1,1
-7.086000000000001e-05,0,0,1,1
-7.083e-05,0,0,1,1
-7.08e-05,0,0,1,1
-7.077e-05,0,0,1,1
-7.074e-05,0,0,1,1
-7.071000000000001e-05,0,0,1,1
-7.068000000000001e-05,0,0,1,1
-7.065e-05,0,0,1,1
-7.062e-05,0,0,1,1
-7.059e-05,0,0,1,1
-7.056e-05,0,0,1,1
-7.053e-05,0,0,1,1
-7.050000000000001e-05,0,0,1,0
-7.047000000000001e-05,0,0,1,0
-7.044e-05,0,0,1,0
-7.041e-05,0,0,1,0
-7.038e-05,0,0,1,0
-7.035e-05,0,0,1,0
-7.032e-05,0,0,1,0
-7.029000000000001e-05,0,0,1,0
-7.026000000000001e-05,0,0,1,0
-7.023e-05,0,0,1,0
-7.02e-05,0,0,1,0
-7.017e-05,0,0,1,0
-7.014e-05,0,0,1,0
-7.011e-05,0,0,1,0
