v1	I(Dgreen)	I(Dred)	I(Dyellow)
1.350000000000001e+00	8.274905e-10	1.194427e-08	2.729594e-09
1.360000000000001e+00	8.997750e-10	1.324861e-08	2.994652e-09
1.370000000000001e+00	9.783823e-10	1.469540e-08	3.285459e-09
1.380000000000001e+00	1.063865e-09	1.630019e-08	3.604516e-09
1.390000000000001e+00	1.156826e-09	1.808024e-08	3.954569e-09
1.400000000000001e+00	1.257918e-09	2.005469e-08	4.338628e-09
1.410000000000001e+00	1.367854e-09	2.224476e-08	4.759997e-09
1.420000000000001e+00	1.487406e-09	2.467402e-08	5.222300e-09
1.430000000000001e+00	1.617416e-09	2.736857e-08	5.729515e-09
1.440000000000001e+00	1.758798e-09	3.035738e-08	6.286003e-09
1.450000000000001e+00	1.912549e-09	3.367260e-08	6.896552e-09
1.460000000000001e+00	2.079749e-09	3.734985e-08	7.566414e-09
1.470000000000001e+00	2.261575e-09	4.142869e-08	8.301352e-09
1.480000000000001e+00	2.459308e-09	4.595295e-08	9.107685e-09
1.490000000000001e+00	2.674337e-09	5.097128e-08	9.992352e-09
1.500000000000001e+00	2.908178e-09	5.653763e-08	1.096296e-08
1.510000000000001e+00	3.162474e-09	6.271182e-08	1.202786e-08
1.520000000000001e+00	3.439016e-09	6.956024e-08	1.319621e-08
1.530000000000001e+00	3.739750e-09	7.715649e-08	1.447806e-08
1.540000000000001e+00	4.066793e-09	8.558222e-08	1.588444e-08
1.550000000000001e+00	4.422445e-09	9.492798e-08	1.742744e-08
1.560000000000001e+00	4.809209e-09	1.052942e-07	1.912034e-08
1.570000000000001e+00	5.229808e-09	1.167924e-07	2.097770e-08
1.580000000000001e+00	5.687201e-09	1.295460e-07	2.301549e-08
1.590000000000001e+00	6.184607e-09	1.436920e-07	2.525124e-08
1.600000000000001e+00	6.725526e-09	1.593826e-07	2.770417e-08
1.610000000000001e+00	7.313766e-09	1.767862e-07	3.039540e-08
1.620000000000001e+00	7.953465e-09	1.960898e-07	3.334807e-08
1.630000000000001e+00	8.649127e-09	2.175007e-07	3.658756e-08
1.640000000000001e+00	9.405644e-09	2.412489e-07	4.014174e-08
1.650000000000001e+00	1.022834e-08	2.675894e-07	4.404118e-08
1.660000000000001e+00	1.112301e-08	2.968050e-07	4.831942e-08
1.670000000000001e+00	1.209595e-08	3.292093e-07	5.301325e-08
1.680000000000001e+00	1.315400e-08	3.651500e-07	5.816304e-08
1.690000000000001e+00	1.430460e-08	4.050130e-07	6.381306e-08
