v4	V(n010)	I(Dgreen1)
2.629999999999988e+000	2.626321e+000	3.679252e-005
2.639999999999988e+000	2.636009e+000	3.990689e-005
2.649999999999988e+000	2.645672e+000	4.327564e-005
2.659999999999987e+000	2.655308e+000	4.691801e-005
2.669999999999987e+000	2.664915e+000	5.085439e-005
2.679999999999987e+000	2.674489e+000	5.510645e-005
2.689999999999987e+000	2.684030e+000	5.969707e-005
2.699999999999986e+000	2.693535e+000	6.465046e-005
2.709999999999986e+000	2.703001e+000	6.999204e-005
2.719999999999986e+000	2.712425e+000	7.574861e-005
2.729999999999986e+000	2.721805e+000	8.194817e-005
2.739999999999986e+000	2.731138e+000	8.862002e-005
2.749999999999985e+000	2.740421e+000	9.579467e-005
2.759999999999985e+000	2.749650e+000	1.035038e-004
2.769999999999985e+000	2.758822e+000	1.117801e-004
2.779999999999985e+000	2.767934e+000	1.206573e-004
2.789999999999985e+000	2.776983e+000	1.301702e-004
2.799999999999984e+000	2.785964e+000	1.403540e-004
2.809999999999984e+000	2.794876e+000	1.512449e-004
2.819999999999984e+000	2.803712e+000	1.628793e-004
2.829999999999984e+000	2.812471e+000	1.752939e-004
2.839999999999983e+000	2.821147e+000	1.885255e-004
2.849999999999983e+000	2.829739e+000	2.026108e-004
2.859999999999983e+000	2.838241e+000	2.175860e-004
2.869999999999983e+000	2.846651e+000	2.334867e-004
2.879999999999983e+000	2.854965e+000	2.503477e-004
2.889999999999982e+000	2.863180e+000	2.682026e-004
2.899999999999982e+000	2.871292e+000	2.870838e-004
2.909999999999982e+000	2.879298e+000	3.070219e-004
2.919999999999982e+000	2.887195e+000	3.280458e-004
2.929999999999982e+000	2.894982e+000	3.501825e-004
2.939999999999981e+000	2.902654e+000	3.734565e-004
2.949999999999981e+000	2.910211e+000	3.978903e-004
2.959999999999981e+000	2.917650e+000	4.235035e-004
2.969999999999981e+000	2.924969e+000	4.503133e-004
2.979999999999980e+000	2.932167e+000	4.783342e-004
2.989999999999980e+000	2.939242e+000	5.075780e-004
2.999999999999980e+000	2.946195e+000	5.380535e-004
3.009999999999980e+000	2.953023e+000	5.697669e-004
3.019999999999980e+000	2.959728e+000	6.027218e-004
3.029999999999979e+000	2.966308e+000	6.369188e-004
3.039999999999979e+000	2.972764e+000	6.723563e-004
3.049999999999979e+000	2.979097e+000	7.090300e-004
3.059999999999979e+000	2.985307e+000	7.469333e-004
3.069999999999979e+000	2.991394e+000	7.860576e-004
3.079999999999978e+000	2.997361e+000	8.263921e-004
3.089999999999978e+000	3.003208e+000	8.679241e-004
3.099999999999978e+000	3.008936e+000	9.106393e-004
3.109999999999978e+000	3.014548e+000	9.545218e-004
3.119999999999978e+000	3.020045e+000	9.995544e-004
3.129999999999977e+000	3.025428e+000	1.045719e-003
3.139999999999977e+000	3.030700e+000	1.092995e-003
3.149999999999977e+000	3.035864e+000	1.141363e-003
3.159999999999977e+000	3.040920e+000	1.190802e-003
3.169999999999976e+000	3.045871e+000	1.241290e-003
3.179999999999976e+000	3.050719e+000	1.292805e-003
3.189999999999976e+000	3.055468e+000	1.345324e-003
3.199999999999976e+000	3.060118e+000	1.398824e-003
3.209999999999976e+000	3.064672e+000	1.453283e-003
3.219999999999975e+000	3.069132e+000	1.508678e-003
3.229999999999975e+000	3.073501e+000	1.564986e-003
3.239999999999975e+000	3.077782e+000	1.622184e-003
3.249999999999975e+000	3.081975e+000	1.680250e-003
3.259999999999975e+000	3.086084e+000	1.739160e-003
3.269999999999974e+000	3.090111e+000	1.798894e-003
3.279999999999974e+000	3.094057e+000	1.859429e-003
3.289999999999974e+000	3.097925e+000	1.920745e-003
3.299999999999974e+000	3.101718e+000	1.982819e-003
3.309999999999973e+000	3.105437e+000	2.045632e-003
3.319999999999973e+000	3.109084e+000	2.109164e-003
3.329999999999973e+000	3.112661e+000	2.173394e-003
3.339999999999973e+000	3.116169e+000	2.238305e-003
3.349999999999973e+000	3.119612e+000	2.303876e-003
3.359999999999972e+000	3.122991e+000	2.370090e-003
3.369999999999972e+000	3.126307e+000	2.436929e-003
3.379999999999972e+000	3.129562e+000	2.504376e-003
3.389999999999972e+000	3.132759e+000	2.572414e-003
