v3	I(Dyellow1)
2.209999999999997e+00	7.862862e-06
2.219999999999997e+00	8.620676e-06
2.229999999999996e+00	9.450892e-06
2.239999999999996e+00	1.036030e-05
2.249999999999996e+00	1.135631e-05
2.259999999999996e+00	1.244698e-05
2.269999999999996e+00	1.364108e-05
2.279999999999995e+00	1.494818e-05
2.289999999999995e+00	1.637865e-05
2.299999999999995e+00	1.794377e-05
2.309999999999995e+00	1.965578e-05
2.319999999999995e+00	2.152793e-05
2.329999999999994e+00	2.357458e-05
2.339999999999994e+00	2.581126e-05
2.349999999999994e+00	2.825473e-05
2.359999999999994e+00	3.092306e-05
2.369999999999993e+00	3.383572e-05
2.379999999999993e+00	3.701363e-05
2.389999999999993e+00	4.047922e-05
2.399999999999993e+00	4.425649e-05
2.409999999999993e+00	4.837110e-05
2.419999999999992e+00	5.285039e-05
2.429999999999992e+00	5.772339e-05
2.439999999999992e+00	6.302090e-05
2.449999999999992e+00	6.877543e-05
2.459999999999992e+00	7.502123e-05
2.469999999999991e+00	8.179426e-05
2.479999999999991e+00	8.913207e-05
2.489999999999991e+00	9.707380e-05
2.499999999999991e+00	1.056600e-04
2.509999999999990e+00	1.149325e-04
2.519999999999990e+00	1.249342e-04
2.529999999999990e+00	1.357090e-04
2.539999999999990e+00	1.473013e-04
2.549999999999990e+00	1.597561e-04
2.559999999999989e+00	1.731182e-04
2.569999999999989e+00	1.874325e-04
2.579999999999989e+00	2.027430e-04
2.589999999999989e+00	2.190929e-04
2.599999999999989e+00	2.365240e-04
2.609999999999988e+00	2.550767e-04
2.619999999999988e+00	2.747889e-04
2.629999999999988e+00	2.956966e-04
2.639999999999988e+00	3.178329e-04
2.649999999999987e+00	3.412279e-04
2.659999999999987e+00	3.659085e-04
2.669999999999987e+00	3.918982e-04
2.679999999999987e+00	4.192171e-04
2.689999999999987e+00	4.478813e-04
2.699999999999986e+00	4.779034e-04
2.709999999999986e+00	5.092921e-04
2.719999999999986e+00	5.420527e-04
2.729999999999986e+00	5.761865e-04
2.739999999999986e+00	6.116916e-04
2.749999999999985e+00	6.485626e-04
2.759999999999985e+00	6.867911e-04
2.769999999999985e+00	7.263658e-04
2.779999999999985e+00	7.672727e-04
2.789999999999984e+00	8.094952e-04
2.799999999999984e+00	8.530148e-04
2.809999999999984e+00	8.978110e-04
2.819999999999984e+00	9.438613e-04
2.829999999999984e+00	9.911421e-04
2.839999999999983e+00	1.039629e-03
2.849999999999983e+00	1.089295e-03
2.859999999999983e+00	1.140115e-03
2.869999999999983e+00	1.192060e-03
2.879999999999983e+00	1.245104e-03
2.889999999999982e+00	1.299217e-03
2.899999999999982e+00	1.354374e-03
2.909999999999982e+00	1.410544e-03
2.919999999999982e+00	1.467702e-03
2.929999999999982e+00	1.525818e-03
2.939999999999981e+00	1.584866e-03
2.949999999999981e+00	1.644818e-03
2.959999999999981e+00	1.705649e-03
2.969999999999981e+00	1.767332e-03
2.979999999999980e+00	1.829842e-03
2.989999999999980e+00	1.893155e-03
2.999999999999980e+00	1.957246e-03
3.009999999999980e+00	2.022091e-03
3.019999999999980e+00	2.087668e-03
3.029999999999979e+00	2.153954e-03
3.039999999999979e+00	2.220929e-03
3.049999999999979e+00	2.288570e-03
3.059999999999979e+00	2.356858e-03
3.069999999999979e+00	2.425772e-03
3.079999999999978e+00	2.495295e-03
3.089999999999978e+00	2.565408e-03
3.099999999999978e+00	2.636092e-03
3.109999999999978e+00	2.707331e-03
3.119999999999977e+00	2.779108e-03
3.129999999999977e+00	2.851408e-03
3.139999999999977e+00	2.924214e-03
3.149999999999977e+00	2.997512e-03
3.159999999999977e+00	3.071287e-03
3.169999999999976e+00	3.145526e-03
3.179999999999976e+00	3.220216e-03
3.189999999999976e+00	3.295342e-03
3.199999999999976e+00	3.370893e-03
3.209999999999976e+00	3.446857e-03
3.219999999999975e+00	3.523222e-03
3.229999999999975e+00	3.599978e-03
3.239999999999975e+00	3.677112e-03
3.249999999999975e+00	3.754615e-03
3.259999999999974e+00	3.832477e-03
