time	V(vo)
Step Information: X=2.2µ  (Run: 1/3)
3.765442323606619e-002	2.558107e+000
3.775442323606619e-002	2.505796e+000
3.785442323606619e-002	2.454554e+000
3.795442323606620e-002	2.404358e+000
3.805442323606620e-002	2.355190e+000
3.815442323606620e-002	2.307026e+000
3.825442323606620e-002	2.259848e+000
3.835442323606621e-002	2.213634e+000
3.845442323606621e-002	2.168365e+000
3.855442323606621e-002	2.124022e+000
3.865442323606622e-002	2.080586e+000
3.875442323606622e-002	2.038039e+000
3.885442323606622e-002	1.996361e+000
3.895442323606622e-002	1.955536e+000
3.905442323606623e-002	1.915545e+000
3.925442323606623e-002	1.838001e+000
3.955442323606624e-002	1.727530e+000
4.005442323606626e-002	1.557970e+000
4.045442323606627e-002	1.434384e+000
4.065442323606627e-002	1.376318e+000
4.075442323606628e-002	1.348173e+000
4.085442323606628e-002	1.320603e+000
4.095442323606628e-002	1.293597e+000
4.105442323606628e-002	1.267143e+000
4.115442323606629e-002	1.241230e+000
4.125442323606629e-002	1.215848e+000
4.135442323606629e-002	1.191018e+000
4.145442323606630e-002	1.167425e+000
4.155442323606630e-002	1.153466e+000
4.165442323606630e-002	1.175184e+000
4.175442323606630e-002	1.254460e+000
4.185442323606631e-002	1.375006e+000
4.195442323606631e-002	1.504825e+000
4.225442323606632e-002	1.876938e+000
4.255442323606633e-002	2.220739e+000
4.285442323606634e-002	2.533199e+000
4.315442323606634e-002	2.811594e+000
4.345442323606635e-002	3.053521e+000
4.375442323606636e-002	3.256930e+000
4.405442323606637e-002	3.420151e+000
4.435442323606638e-002	3.541920e+000
4.465442323606639e-002	3.621416e+000
4.495442323606640e-002	3.658308e+000
4.505442323606640e-002	3.661159e+000
4.515442323606640e-002	3.659321e+000
4.525442323606640e-002	3.652828e+000
4.545442323606641e-002	3.626064e+000
4.565442323606642e-002	3.581367e+000
4.585442323606642e-002	3.519491e+000
4.595442323606643e-002	3.482438e+000
4.605442323606643e-002	3.441540e+000
4.615442323606643e-002	3.397017e+000
4.625442323606643e-002	3.349134e+000
4.635442323606644e-002	3.298212e+000
4.645442323606644e-002	3.244629e+000
4.655442323606644e-002	3.188827e+000
4.665442323606645e-002	3.131303e+000
4.675442323606645e-002	3.072592e+000
4.685442323606645e-002	3.013235e+000
4.695442323606645e-002	2.953737e+000
4.705442323606646e-002	2.894539e+000
4.715442323606646e-002	2.835977e+000
4.725442323606646e-002	2.778287e+000
4.735442323606647e-002	2.721606e+000
4.745442323606647e-002	2.666004e+000
4.755442323606647e-002	2.611505e+000
4.765442323606647e-002	2.558107e+000
4.775442323606648e-002	2.505796e+000
4.785442323606648e-002	2.454554e+000
4.795442323606648e-002	2.404358e+000
4.805442323606649e-002	2.355190e+000
4.815442323606649e-002	2.307026e+000
4.825442323606649e-002	2.259848e+000
4.835442323606649e-002	2.213634e+000
4.845442323606650e-002	2.168365e+000
4.855442323606650e-002	2.124022e+000
4.865442323606650e-002	2.080586e+000
4.875442323606651e-002	2.038039e+000
4.885442323606651e-002	1.996361e+000
4.895442323606651e-002	1.955536e+000
4.905442323606651e-002	1.915545e+000
4.925442323606652e-002	1.838001e+000
4.955442323606653e-002	1.727530e+000
5.005442323606654e-002	1.557970e+000
5.045442323606655e-002	1.434384e+000
5.065442323606656e-002	1.376318e+000
5.075442323606656e-002	1.348173e+000
5.085442323606657e-002	1.320603e+000
5.095442323606657e-002	1.293597e+000
5.105442323606657e-002	1.267143e+000
5.115442323606657e-002	1.241230e+000
5.125442323606658e-002	1.215848e+000
5.135442323606658e-002	1.191018e+000
5.145442323606658e-002	1.167425e+000
5.155442323606659e-002	1.153466e+000
5.165442323606659e-002	1.175184e+000
5.175442323606659e-002	1.254460e+000
5.185442323606659e-002	1.375006e+000
5.195442323606660e-002	1.504825e+000
5.225442323606661e-002	1.876938e+000
5.255442323606661e-002	2.220739e+000
5.285442323606662e-002	2.533199e+000
5.315442323606663e-002	2.811594e+000
5.345442323606664e-002	3.053521e+000
5.375442323606665e-002	3.256930e+000
5.405442323606666e-002	3.420151e+000
5.435442323606667e-002	3.541920e+000
5.465442323606667e-002	3.621416e+000
5.495442323606668e-002	3.658308e+000
5.505442323606669e-002	3.661159e+000
5.515442323606669e-002	3.659321e+000
5.525442323606669e-002	3.652828e+000
5.545442323606670e-002	3.626064e+000
5.565442323606670e-002	3.581367e+000
5.585442323606671e-002	3.519491e+000
5.595442323606671e-002	3.482438e+000
5.605442323606671e-002	3.441540e+000
5.615442323606672e-002	3.397017e+000
5.625442323606672e-002	3.349134e+000
5.635442323606672e-002	3.298212e+000
5.645442323606673e-002	3.244629e+000
5.655442323606673e-002	3.188827e+000
5.665442323606673e-002	3.131303e+000
5.675442323606673e-002	3.072592e+000
5.685442323606674e-002	3.013235e+000
5.695442323606674e-002	2.953737e+000
5.705442323606674e-002	2.894539e+000
5.715442323606675e-002	2.835977e+000
5.725442323606675e-002	2.778287e+000
5.735442323606675e-002	2.721606e+000
5.745442323606675e-002	2.666004e+000
5.755442323606676e-002	2.611505e+000
5.765442323606676e-002	2.558107e+000
5.775442323606676e-002	2.505796e+000
5.785442323606677e-002	2.454554e+000
5.795442323606677e-002	2.404358e+000
5.805442323606677e-002	2.355190e+000
5.815442323606677e-002	2.307026e+000
5.825442323606678e-002	2.259848e+000
5.835442323606678e-002	2.213634e+000
5.845442323606678e-002	2.168365e+000
5.855442323606679e-002	2.124022e+000
5.865442323606679e-002	2.080586e+000
5.875442323606679e-002	2.038039e+000
5.885442323606679e-002	1.996361e+000
5.895442323606680e-002	1.955536e+000
5.905442323606680e-002	1.915545e+000
5.925442323606681e-002	1.838001e+000
5.955442323606681e-002	1.727530e+000
5.995442323606683e-002	1.590403e+000
6.000000000000000e-002	1.575420e+000
Step Information: X=22µ  (Run: 2/3)
0.000000000000000e+000	0.000000e+000
3.856416524616663e-004	2.213950e-009
4.213974048427266e-004	5.974659e-009
4.576999972427025e-004	1.741668e-008
4.761060412952760e-004	3.012762e-008
4.937656308151384e-004	5.108262e-008
5.119687877017063e-004	8.806235e-008
5.297367691393154e-004	1.499457e-007
5.478463678477083e-004	2.578615e-007
5.657042768130681e-004	4.401118e-007
5.837789886835356e-004	7.556662e-007
6.017108158248610e-004	1.291544e-006
6.197830841444730e-004	2.215393e-006
6.377779105329276e-004	3.789563e-006
6.558670455893492e-004	6.496382e-006
6.739188128426796e-004	1.111799e-005
6.920377957031891e-004	1.905247e-005
7.101450102119106e-004	3.261638e-005
7.283050972715527e-004	5.588093e-005
7.464721816424580e-004	9.568020e-005
7.646887254367044e-004	1.639013e-004
7.829323359954984e-004	2.806527e-004
8.012379451518546e-004	4.806845e-004
8.196075470861044e-004	8.230300e-004
8.380891942728398e-004	1.409240e-003
8.567305646103816e-004	2.412115e-003
8.756427121332678e-004	4.127951e-003
8.950013068393986e-004	7.061867e-003
9.151376811636997e-004	1.208220e-002
9.367010804923888e-004	2.071695e-002
9.610684287981953e-004	3.585035e-002
9.919357282890985e-004	6.415019e-002
1.043591839408586e-003	1.260361e-001
1.094889577295944e-003	1.967799e-001
1.151333778887457e-003	2.789694e-001
1.227494372983703e-003	3.903543e-001
1.427494372983704e-003	6.785159e-001
1.627494372983704e-003	9.584861e-001
1.927494372983704e-003	1.360483e+000
2.227494372983703e-003	1.737845e+000
