vi	V(si)	Ix(Zener2:+)
-9.900000000000631e-001	-9.900000e-001	-1.000000e-012
-9.800000000000630e-001	-9.800000e-001	-9.900000e-013
-9.700000000000630e-001	-9.700000e-001	-9.800000e-013
-9.600000000000630e-001	-9.600000e-001	-9.700000e-013
-9.500000000000630e-001	-9.500000e-001	-9.600000e-013
-9.400000000000630e-001	-9.400000e-001	-9.500000e-013
-9.300000000000630e-001	-9.300000e-001	-9.400000e-013
-9.200000000000630e-001	-9.200000e-001	-9.300000e-013
-9.100000000000630e-001	-9.100000e-001	-9.200000e-013
-9.000000000000630e-001	-9.000000e-001	-9.100000e-013
-8.900000000000630e-001	-8.900000e-001	-9.000000e-013
-8.800000000000630e-001	-8.800000e-001	-8.900000e-013
-8.700000000000630e-001	-8.700000e-001	-8.800000e-013
-8.600000000000629e-001	-8.600000e-001	-8.700000e-013
-8.500000000000629e-001	-8.500000e-001	-8.600000e-013
-8.400000000000629e-001	-8.400000e-001	-8.500000e-013
-8.300000000000629e-001	-8.300000e-001	-8.400000e-013
-8.200000000000629e-001	-8.200000e-001	-8.300000e-013
-8.100000000000629e-001	-8.100000e-001	-8.200000e-013
-8.000000000000629e-001	-8.000000e-001	-8.100000e-013
-7.900000000000629e-001	-7.900000e-001	-8.000000e-013
-7.800000000000629e-001	-7.800000e-001	-7.900000e-013
-7.700000000000629e-001	-7.700000e-001	-7.800000e-013
-7.600000000000629e-001	-7.600000e-001	-7.700000e-013
-7.500000000000628e-001	-7.500000e-001	-7.600000e-013
-7.400000000000628e-001	-7.400000e-001	-7.500000e-013
-7.300000000000628e-001	-7.300000e-001	-7.400000e-013
-7.200000000000628e-001	-7.200000e-001	-7.300000e-013
-7.100000000000628e-001	-7.100000e-001	-7.200000e-013
-7.000000000000628e-001	-7.000000e-001	-7.100000e-013
-6.900000000000628e-001	-6.900000e-001	-7.000000e-013
-6.800000000000628e-001	-6.800000e-001	-6.900000e-013
-6.700000000000628e-001	-6.700000e-001	-6.800000e-013
-6.600000000000628e-001	-6.600000e-001	-6.700000e-013
-6.500000000000628e-001	-6.500000e-001	-6.600000e-013
-6.400000000000627e-001	-6.400000e-001	-6.500000e-013
-6.300000000000627e-001	-6.300000e-001	-6.400000e-013
-6.200000000000627e-001	-6.200000e-001	-6.300000e-013
-6.100000000000627e-001	-6.100000e-001	-6.200000e-013
-6.000000000000627e-001	-6.000000e-001	-6.100000e-013
-5.900000000000627e-001	-5.900000e-001	-6.000000e-013
-5.800000000000627e-001	-5.800000e-001	-5.900000e-013
-5.700000000000627e-001	-5.700000e-001	-5.800000e-013
-5.600000000000627e-001	-5.600000e-001	-5.700000e-013
-5.500000000000627e-001	-5.500000e-001	-5.600000e-013
-5.400000000000627e-001	-5.400000e-001	-5.500000e-013
-5.300000000000626e-001	-5.300000e-001	-5.400000e-013
-5.200000000000626e-001	-5.200000e-001	-5.300000e-013
