vi	V(si)	Ix(Schottky2:+)
-1.990000000000064e+000	-1.989997e+000	-1.335395e-008
-1.980000000000064e+000	-1.979997e+000	-1.335300e-008
-1.970000000000064e+000	-1.969997e+000	-1.335205e-008
-1.960000000000064e+000	-1.959997e+000	-1.335110e-008
-1.950000000000064e+000	-1.949997e+000	-1.335014e-008
-1.940000000000064e+000	-1.939997e+000	-1.334919e-008
-1.930000000000064e+000	-1.929997e+000	-1.334823e-008
-1.920000000000064e+000	-1.919997e+000	-1.334728e-008
-1.910000000000064e+000	-1.909997e+000	-1.334632e-008
-1.900000000000064e+000	-1.899997e+000	-1.334537e-008
-1.890000000000064e+000	-1.889997e+000	-1.334441e-008
-1.880000000000064e+000	-1.879997e+000	-1.334345e-008
-1.870000000000064e+000	-1.869997e+000	-1.334249e-008
-1.860000000000064e+000	-1.859997e+000	-1.334153e-008
-1.850000000000064e+000	-1.849997e+000	-1.334057e-008
-1.840000000000064e+000	-1.839997e+000	-1.333961e-008
-1.830000000000064e+000	-1.829997e+000	-1.333865e-008
-1.820000000000064e+000	-1.819997e+000	-1.333769e-008
-1.810000000000064e+000	-1.809997e+000	-1.333673e-008
-1.800000000000064e+000	-1.799997e+000	-1.333576e-008
-1.790000000000064e+000	-1.789997e+000	-1.333480e-008
-1.780000000000064e+000	-1.779997e+000	-1.333384e-008
-1.770000000000064e+000	-1.769997e+000	-1.333287e-008
-1.760000000000064e+000	-1.759997e+000	-1.333190e-008
-1.750000000000064e+000	-1.749997e+000	-1.333094e-008
-1.740000000000064e+000	-1.739997e+000	-1.332997e-008
-1.730000000000064e+000	-1.729997e+000	-1.332900e-008
-1.720000000000064e+000	-1.719997e+000	-1.332803e-008
-1.710000000000064e+000	-1.709997e+000	-1.332706e-008
-1.700000000000064e+000	-1.699997e+000	-1.332609e-008
-1.690000000000064e+000	-1.689997e+000	-1.332512e-008
-1.680000000000064e+000	-1.679997e+000	-1.332415e-008
-1.670000000000064e+000	-1.669997e+000	-1.332318e-008
-1.660000000000064e+000	-1.659997e+000	-1.332220e-008
-1.650000000000064e+000	-1.649997e+000	-1.332123e-008
-1.640000000000064e+000	-1.639997e+000	-1.332026e-008
-1.630000000000064e+000	-1.629997e+000	-1.331928e-008
-1.620000000000064e+000	-1.619997e+000	-1.331830e-008
-1.610000000000064e+000	-1.609997e+000	-1.331733e-008
-1.600000000000064e+000	-1.599997e+000	-1.331635e-008
-1.590000000000064e+000	-1.589997e+000	-1.331537e-008
-1.580000000000064e+000	-1.579997e+000	-1.331439e-008
-1.570000000000064e+000	-1.569997e+000	-1.331341e-008
-1.560000000000064e+000	-1.559997e+000	-1.331243e-008
-1.550000000000064e+000	-1.549997e+000	-1.331144e-008
-1.540000000000064e+000	-1.539997e+000	-1.331046e-008
-1.530000000000064e+000	-1.529997e+000	-1.330948e-008
-1.520000000000064e+000	-1.519997e+000	-1.330849e-008
-1.510000000000064e+000	-1.509997e+000	-1.330751e-008
-1.500000000000064e+000	-1.499997e+000	-1.330652e-008
-1.490000000000064e+000	-1.489997e+000	-1.330553e-008
-1.480000000000064e+000	-1.479997e+000	-1.330455e-008
-1.470000000000064e+000	-1.469997e+000	-1.330356e-008
-1.460000000000064e+000	-1.459997e+000	-1.330257e-008
-1.450000000000064e+000	-1.449997e+000	-1.330157e-008
-1.440000000000064e+000	-1.439997e+000	-1.330058e-008
-1.430000000000063e+000	-1.429997e+000	-1.329959e-008
-1.420000000000063e+000	-1.419997e+000	-1.329860e-008
-1.410000000000063e+000	-1.409997e+000	-1.329760e-008
-1.400000000000063e+000	-1.399997e+000	-1.329661e-008
-1.390000000000063e+000	-1.389997e+000	-1.329561e-008
-1.380000000000063e+000	-1.379997e+000	-1.329461e-008
-1.370000000000063e+000	-1.369997e+000	-1.329361e-008
-1.360000000000063e+000	-1.359997e+000	-1.329261e-008
-1.350000000000063e+000	-1.349997e+000	-1.329161e-008
-1.340000000000063e+000	-1.339997e+000	-1.329061e-008
-1.330000000000063e+000	-1.329997e+000	-1.328961e-008
-1.320000000000063e+000	-1.319997e+000	-1.328860e-008
-1.310000000000063e+000	-1.309997e+000	-1.328760e-008
-1.300000000000063e+000	-1.299997e+000	-1.328659e-008
-1.290000000000063e+000	-1.289997e+000	-1.328559e-008
-1.280000000000063e+000	-1.279997e+000	-1.328458e-008
-1.270000000000063e+000	-1.269997e+000	-1.328357e-008
-1.260000000000063e+000	-1.259997e+000	-1.328256e-008
-1.250000000000063e+000	-1.249997e+000	-1.328155e-008
-1.240000000000063e+000	-1.239997e+000	-1.328054e-008
-1.230000000000063e+000	-1.229997e+000	-1.327952e-008
-1.220000000000063e+000	-1.219997e+000	-1.327851e-008
-1.210000000000063e+000	-1.209997e+000	-1.327749e-008
-1.200000000000063e+000	-1.199997e+000	-1.327648e-008
-1.190000000000063e+000	-1.189997e+000	-1.327546e-008
-1.180000000000063e+000	-1.179997e+000	-1.327444e-008
-1.170000000000063e+000	-1.169997e+000	-1.327342e-008
-1.160000000000063e+000	-1.159997e+000	-1.327240e-008
-1.150000000000063e+000	-1.149997e+000	-1.327138e-008
-1.140000000000063e+000	-1.139997e+000	-1.327035e-008
-1.130000000000063e+000	-1.129997e+000	-1.326933e-008
-1.120000000000063e+000	-1.119997e+000	-1.326830e-008
