time	V(v)
2.073107199629296e-002	5.185904e-002
2.083107199629296e-002	1.345838e-001
2.093107199629296e-002	2.476821e-001
2.103107199629296e-002	3.740228e-001
2.123107199629296e-002	6.395290e-001
2.135964342486439e-002	8.142198e-001
2.148821485343581e-002	9.860514e-001
2.161678628200724e-002	1.155024e+000
2.174535771057867e-002	1.321137e+000
2.187392913915010e-002	1.484391e+000
2.200250056772152e-002	1.644786e+000
2.213107199629295e-002	1.802321e+000
2.243107199629295e-002	2.148324e+000
2.273107199629295e-002	2.465608e+000
2.303107199629295e-002	2.750793e+000
2.333107199629295e-002	3.000991e+000
2.363107199629294e-002	3.213742e+000
2.393107199629294e-002	3.386992e+000
2.423107199629294e-002	3.519089e+000
2.453107199629294e-002	3.608782e+000
2.483107199629294e-002	3.655228e+000
2.513107199629294e-002	3.657989e+000
2.543107199629293e-002	3.617041e+000
2.573107199629293e-002	3.532766e+000
2.603107199629293e-002	3.405960e+000
2.633107199629293e-002	3.237820e+000
2.663107199629293e-002	3.029949e+000
2.693107199629292e-002	2.784349e+000
2.723107199629292e-002	2.503428e+000
2.753107199629292e-002	2.190020e+000
2.783107199629292e-002	1.847435e+000
2.813107199629292e-002	1.479608e+000
2.843107199629292e-002	1.091506e+000
2.850250056772148e-002	9.961803e-001
2.857392913915006e-002	9.008189e-001
2.864535771057863e-002	8.054219e-001
2.871678628200720e-002	7.099895e-001
2.878821485343577e-002	6.145215e-001
2.885964342486434e-002	5.190180e-001
2.893107199629291e-002	4.234790e-001
2.903107199629291e-002	2.944672e-001
2.913107199629291e-002	1.748842e-001
2.923107199629291e-002	7.846130e-002
2.933107199629291e-002	2.197760e-002
2.943107199629291e-002	2.897504e-003
2.953107199629291e-002	1.740688e-004
2.963107199629291e-002	8.780597e-006
2.973107199629291e-002	4.323769e-007
2.981678628200719e-002	-1.796322e-007
2.990250056772148e-002	-4.742503e-007
2.998821485343576e-002	-4.514772e-007
3.007392913915005e-002	-1.113131e-007
3.015964342486434e-002	5.462422e-007
3.024535771057862e-002	1.521189e-006
3.033107199629290e-002	2.813526e-006
3.043107199629290e-002	5.648316e-005
3.053107199629290e-002	1.052171e-003
3.063107199629290e-002	1.144660e-002
3.073107199629290e-002	5.185904e-002
3.083107199629290e-002	1.345838e-001
3.093107199629290e-002	2.476821e-001
3.103107199629290e-002	3.740228e-001
3.123107199629290e-002	6.395290e-001
3.135964342486433e-002	8.142198e-001
3.148821485343576e-002	9.860514e-001
3.161678628200720e-002	1.155024e+000
3.174535771057863e-002	1.321137e+000
3.187392913915006e-002	1.484391e+000
3.200250056772149e-002	1.644786e+000
3.213107199629292e-002	1.802321e+000
3.243107199629293e-002	2.148324e+000
3.273107199629294e-002	2.465608e+000
3.303107199629295e-002	2.750793e+000
3.333107199629296e-002	3.000991e+000
3.363107199629296e-002	3.213742e+000
3.393107199629297e-002	3.386992e+000
3.423107199629298e-002	3.519089e+000
3.453107199629299e-002	3.608782e+000
3.483107199629300e-002	3.655228e+000
3.513107199629301e-002	3.657989e+000
3.543107199629302e-002	3.617041e+000
3.573107199629302e-002	3.532766e+000
3.603107199629303e-002	3.405960e+000
3.633107199629304e-002	3.237820e+000
3.663107199629305e-002	3.029949e+000
3.693107199629306e-002	2.784349e+000
3.723107199629307e-002	2.503428e+000
3.753107199629308e-002	2.190020e+000
3.783107199629308e-002	1.847435e+000
3.813107199629309e-002	1.479608e+000
3.843107199629310e-002	1.091506e+000
3.850250056772168e-002	9.961803e-001
3.857392913915025e-002	9.008189e-001
3.864535771057882e-002	8.054219e-001
3.871678628200739e-002	7.099895e-001
3.878821485343597e-002	6.145215e-001
3.885964342486454e-002	5.190180e-001
3.893107199629312e-002	4.234790e-001
3.903107199629312e-002	2.944672e-001
3.913107199629312e-002	1.748842e-001
3.923107199629312e-002	7.846130e-002
3.933107199629313e-002	2.197760e-002
3.943107199629313e-002	2.897504e-003
3.953107199629313e-002	1.740688e-004
3.963107199629314e-002	8.780597e-006
3.973107199629314e-002	4.323769e-007
3.993107199629314e-002	8.160178e-010
4.000000000000000e-002	-4.208783e-017
