vi	I(D)
Step Information: Temp=0  (Run: 1/6)
2.439999999999992e+000	1.676095e-002
2.449999999999992e+000	1.685802e-002
2.459999999999992e+000	1.695510e-002
2.469999999999991e+000	1.705220e-002
2.479999999999991e+000	1.714930e-002
2.489999999999991e+000	1.724642e-002
2.499999999999991e+000	1.734355e-002
2.509999999999991e+000	1.744070e-002
2.519999999999990e+000	1.753786e-002
2.529999999999990e+000	1.763503e-002
2.539999999999990e+000	1.773221e-002
2.549999999999990e+000	1.782940e-002
2.559999999999989e+000	1.792661e-002
2.569999999999989e+000	1.802382e-002
2.579999999999989e+000	1.812105e-002
2.589999999999989e+000	1.821829e-002
2.599999999999989e+000	1.831555e-002
2.609999999999988e+000	1.841281e-002
2.619999999999988e+000	1.851008e-002
2.629999999999988e+000	1.860737e-002
2.639999999999988e+000	1.870467e-002
2.649999999999988e+000	1.880197e-002
2.659999999999987e+000	1.889929e-002
2.669999999999987e+000	1.899662e-002
2.679999999999987e+000	1.909396e-002
2.689999999999987e+000	1.919131e-002
2.699999999999986e+000	1.928867e-002
2.709999999999986e+000	1.938604e-002
2.719999999999986e+000	1.948342e-002
2.729999999999986e+000	1.958081e-002
2.739999999999986e+000	1.967821e-002
2.749999999999985e+000	1.977562e-002
2.759999999999985e+000	1.987304e-002
2.769999999999985e+000	1.997047e-002
2.779999999999985e+000	2.006791e-002
2.789999999999985e+000	2.016536e-002
2.799999999999984e+000	2.026282e-002
2.809999999999984e+000	2.036029e-002
2.819999999999984e+000	2.045776e-002
2.829999999999984e+000	2.055525e-002
2.839999999999983e+000	2.065274e-002
2.849999999999983e+000	2.075025e-002
2.859999999999983e+000	2.084776e-002
2.869999999999983e+000	2.094528e-002
2.879999999999983e+000	2.104281e-002
2.889999999999982e+000	2.114035e-002
2.899999999999982e+000	2.123790e-002
2.909999999999982e+000	2.133545e-002
2.919999999999982e+000	2.143302e-002
2.929999999999982e+000	2.153059e-002
2.939999999999981e+000	2.162817e-002
2.949999999999981e+000	2.172576e-002
2.959999999999981e+000	2.182336e-002
2.969999999999981e+000	2.192096e-002
2.979999999999980e+000	2.201858e-002
2.989999999999980e+000	2.211620e-002
2.999999999999980e+000	2.221383e-002
3.009999999999980e+000	2.231146e-002
3.019999999999980e+000	2.240911e-002
3.029999999999979e+000	2.250676e-002
3.039999999999979e+000	2.260442e-002
3.049999999999979e+000	2.270209e-002
3.059999999999979e+000	2.279976e-002
3.069999999999979e+000	2.289744e-002
3.079999999999978e+000	2.299513e-002
3.089999999999978e+000	2.309283e-002
3.099999999999978e+000	2.319053e-002
3.109999999999978e+000	2.328825e-002
3.119999999999978e+000	2.338596e-002
3.129999999999977e+000	2.348369e-002
3.139999999999977e+000	2.358142e-002
3.149999999999977e+000	2.367916e-002
3.159999999999977e+000	2.377691e-002
3.169999999999976e+000	2.387466e-002
3.179999999999976e+000	2.397242e-002
3.189999999999976e+000	2.407018e-002
3.199999999999976e+000	2.416796e-002
3.209999999999976e+000	2.426574e-002
3.219999999999975e+000	2.436352e-002
3.229999999999975e+000	2.446132e-002
3.239999999999975e+000	2.455912e-002
3.249999999999975e+000	2.465692e-002
3.259999999999975e+000	2.475473e-002
3.269999999999974e+000	2.485255e-002
3.279999999999974e+000	2.495037e-002
3.289999999999974e+000	2.504821e-002
3.299999999999974e+000	2.514604e-002
3.309999999999973e+000	2.524388e-002
3.319999999999973e+000	2.534173e-002
3.329999999999973e+000	2.543959e-002
3.339999999999973e+000	2.553745e-002
3.349999999999973e+000	2.563532e-002
3.359999999999972e+000	2.573319e-002
3.369999999999972e+000	2.583107e-002
3.379999999999972e+000	2.592895e-002
3.389999999999972e+000	2.602684e-002
3.399999999999972e+000	2.612474e-002
3.409999999999971e+000	2.622264e-002
3.419999999999971e+000	2.632055e-002
3.429999999999971e+000	2.641846e-002
3.439999999999971e+000	2.651638e-002
3.449999999999970e+000	2.661430e-002
3.459999999999970e+000	2.671223e-002
3.469999999999970e+000	2.681016e-002
3.479999999999970e+000	2.690810e-002
3.489999999999970e+000	2.700605e-002
3.499999999999969e+000	2.710400e-002
3.509999999999969e+000	2.720195e-002
3.519999999999969e+000	2.729992e-002
3.529999999999969e+000	2.739788e-002
3.539999999999969e+000	2.749585e-002
3.549999999999968e+000	2.759383e-002
3.559999999999968e+000	2.769181e-002
3.569999999999968e+000	2.778980e-002
3.579999999999968e+000	2.788779e-002
3.589999999999967e+000	2.798579e-002
3.599999999999967e+000	2.808379e-002
3.609999999999967e+000	2.818180e-002
3.619999999999967e+000	2.827981e-002
3.629999999999967e+000	2.837782e-002
3.639999999999966e+000	2.847585e-002
3.649999999999966e+000	2.857387e-002
3.659999999999966e+000	2.867190e-002
3.669999999999966e+000	2.876994e-002
3.679999999999966e+000	2.886798e-002
3.689999999999965e+000	2.896602e-002
3.699999999999965e+000	2.906407e-002
3.709999999999965e+000	2.916213e-002
3.719999999999965e+000	2.926018e-002
3.729999999999965e+000	2.935825e-002
3.739999999999964e+000	2.945632e-002
3.749999999999964e+000	2.955439e-002
3.759999999999964e+000	2.965247e-002
3.769999999999964e+000	2.975055e-002
3.779999999999963e+000	2.984863e-002
3.789999999999963e+000	2.994672e-002
3.799999999999963e+000	3.004482e-002
3.809999999999963e+000	3.014291e-002
3.819999999999963e+000	3.024102e-002
3.829999999999962e+000	3.033912e-002
3.839999999999962e+000	3.043723e-002
3.849999999999962e+000	3.053535e-002
3.859999999999962e+000	3.063347e-002
3.869999999999962e+000	3.073159e-002
3.879999999999961e+000	3.082972e-002
3.889999999999961e+000	3.092785e-002
3.899999999999961e+000	3.102599e-002
3.909999999999961e+000	3.112413e-002
3.919999999999960e+000	3.122227e-002
3.929999999999960e+000	3.132042e-002
3.939999999999960e+000	3.141857e-002
3.949999999999960e+000	3.151673e-002
3.959999999999960e+000	3.161489e-002
3.969999999999959e+000	3.171305e-002
3.979999999999959e+000	3.181122e-002
3.989999999999959e+000	3.190940e-002
3.999999999999959e+000	3.200757e-002
4.009999999999959e+000	3.210575e-002
4.019999999999959e+000	3.220393e-002
4.029999999999959e+000	3.230212e-002
4.039999999999958e+000	3.240031e-002
4.049999999999958e+000	3.249850e-002
4.059999999999958e+000	3.259670e-002
4.069999999999958e+000	3.269490e-002
4.079999999999957e+000	3.279311e-002
4.089999999999957e+000	3.289132e-002
4.099999999999957e+000	3.298953e-002
4.109999999999957e+000	3.308775e-002
4.119999999999957e+000	3.318597e-002
4.129999999999956e+000	3.328419e-002
4.139999999999956e+000	3.338242e-002
4.149999999999956e+000	3.348065e-002
4.159999999999956e+000	3.357888e-002
4.169999999999956e+000	3.367712e-002
4.179999999999955e+000	3.377536e-002
4.189999999999955e+000	3.387360e-002
4.199999999999955e+000	3.397185e-002
4.209999999999955e+000	3.407010e-002
4.219999999999955e+000	3.416836e-002
4.229999999999954e+000	3.426661e-002
4.239999999999954e+000	3.436488e-002
4.249999999999954e+000	3.446314e-002
4.259999999999954e+000	3.456141e-002
4.269999999999953e+000	3.465968e-002
4.279999999999953e+000	3.475795e-002
4.289999999999953e+000	3.485623e-002
4.299999999999953e+000	3.495451e-002
4.309999999999953e+000	3.505279e-002
4.319999999999952e+000	3.515108e-002
