vi	V(si)	I(Si)
-2.010000000000064e+000	-2.010000e+000	-2.522010e-009
-2.000000000000064e+000	-2.000000e+000	-2.522000e-009
-1.990000000000064e+000	-1.990000e+000	-2.521990e-009
-1.980000000000064e+000	-1.980000e+000	-2.521980e-009
-1.970000000000064e+000	-1.970000e+000	-2.521970e-009
-1.960000000000064e+000	-1.959999e+000	-2.521960e-009
-1.950000000000064e+000	-1.949999e+000	-2.521950e-009
-1.940000000000064e+000	-1.939999e+000	-2.521940e-009
-1.930000000000064e+000	-1.929999e+000	-2.521930e-009
-1.920000000000064e+000	-1.919999e+000	-2.521920e-009
-1.910000000000064e+000	-1.909999e+000	-2.521910e-009
-1.900000000000064e+000	-1.899999e+000	-2.521900e-009
-1.890000000000064e+000	-1.890000e+000	-2.521890e-009
-1.880000000000064e+000	-1.880000e+000	-2.521880e-009
-1.870000000000064e+000	-1.870000e+000	-2.521870e-009
-1.860000000000064e+000	-1.860000e+000	-2.521860e-009
-1.850000000000064e+000	-1.850000e+000	-2.521850e-009
-1.840000000000064e+000	-1.839999e+000	-2.521840e-009
-1.830000000000064e+000	-1.829999e+000	-2.521830e-009
-1.820000000000064e+000	-1.819999e+000	-2.521820e-009
-1.810000000000064e+000	-1.809999e+000	-2.521810e-009
-1.800000000000064e+000	-1.799999e+000	-2.521800e-009
-1.790000000000064e+000	-1.789999e+000	-2.521790e-009
-1.780000000000064e+000	-1.779999e+000	-2.521780e-009
-1.770000000000064e+000	-1.770000e+000	-2.521770e-009
-1.760000000000064e+000	-1.760000e+000	-2.521760e-009
-1.750000000000064e+000	-1.750000e+000	-2.521750e-009
-1.740000000000064e+000	-1.740000e+000	-2.521740e-009
-1.730000000000064e+000	-1.730000e+000	-2.521730e-009
-1.720000000000064e+000	-1.720000e+000	-2.521720e-009
-1.710000000000064e+000	-1.709999e+000	-2.521710e-009
-1.700000000000064e+000	-1.699999e+000	-2.521700e-009
-1.690000000000064e+000	-1.689999e+000	-2.521690e-009
-1.680000000000064e+000	-1.679999e+000	-2.521680e-009
-1.670000000000064e+000	-1.669999e+000	-2.521670e-009
-1.660000000000064e+000	-1.659999e+000	-2.521660e-009
-1.650000000000064e+000	-1.649999e+000	-2.521650e-009
-1.640000000000064e+000	-1.640000e+000	-2.521640e-009
-1.630000000000064e+000	-1.630000e+000	-2.521630e-009
-1.620000000000064e+000	-1.620000e+000	-2.521620e-009
-1.610000000000064e+000	-1.610000e+000	-2.521610e-009
-1.600000000000064e+000	-1.600000e+000	-2.521600e-009
-1.590000000000064e+000	-1.589999e+000	-2.521590e-009
-1.580000000000064e+000	-1.579999e+000	-2.521580e-009
-1.570000000000064e+000	-1.569999e+000	-2.521570e-009
-1.560000000000064e+000	-1.559999e+000	-2.521560e-009
-1.550000000000064e+000	-1.549999e+000	-2.521550e-009
-1.540000000000064e+000	-1.539999e+000	-2.521540e-009
-1.530000000000064e+000	-1.529999e+000	-2.521530e-009
-1.520000000000064e+000	-1.520000e+000	-2.521520e-009
-1.510000000000064e+000	-1.510000e+000	-2.521510e-009
-1.500000000000064e+000	-1.500000e+000	-2.521500e-009
-1.490000000000064e+000	-1.490000e+000	-2.521490e-009
-1.480000000000064e+000	-1.480000e+000	-2.521480e-009
-1.470000000000064e+000	-1.470000e+000	-2.521470e-009
-1.460000000000064e+000	-1.459999e+000	-2.521460e-009
-1.450000000000064e+000	-1.449999e+000	-2.521450e-009
-1.440000000000064e+000	-1.439999e+000	-2.521440e-009
-1.430000000000063e+000	-1.429999e+000	-2.521430e-009
-1.420000000000063e+000	-1.419999e+000	-2.521420e-009
-1.410000000000063e+000	-1.409999e+000	-2.521410e-009
-1.400000000000063e+000	-1.399999e+000	-2.521400e-009
-1.390000000000063e+000	-1.390000e+000	-2.521390e-009
-1.380000000000063e+000	-1.380000e+000	-2.521380e-009
-1.370000000000063e+000	-1.370000e+000	-2.521370e-009
-1.360000000000063e+000	-1.360000e+000	-2.521360e-009
-1.350000000000063e+000	-1.350000e+000	-2.521350e-009
-1.340000000000063e+000	-1.339999e+000	-2.521340e-009
-1.330000000000063e+000	-1.329999e+000	-2.521330e-009
-1.320000000000063e+000	-1.319999e+000	-2.521320e-009
-1.310000000000063e+000	-1.309999e+000	-2.521310e-009
-1.300000000000063e+000	-1.299999e+000	-2.521300e-009
-1.290000000000063e+000	-1.289999e+000	-2.521290e-009
-1.280000000000063e+000	-1.279999e+000	-2.521280e-009
-1.270000000000063e+000	-1.270000e+000	-2.521270e-009
-1.260000000000063e+000	-1.260000e+000	-2.521260e-009
-1.250000000000063e+000	-1.250000e+000	-2.521250e-009
-1.240000000000063e+000	-1.240000e+000	-2.521240e-009
-1.230000000000063e+000	-1.230000e+000	-2.521230e-009
-1.220000000000063e+000	-1.220000e+000	-2.521220e-009
-1.210000000000063e+000	-1.209999e+000	-2.521210e-009
-1.200000000000063e+000	-1.199999e+000	-2.521200e-009
-1.190000000000063e+000	-1.189999e+000	-2.521190e-009
-1.180000000000063e+000	-1.179999e+000	-2.521180e-009
-1.170000000000063e+000	-1.169999e+000	-2.521170e-009
-1.160000000000063e+000	-1.159999e+000	-2.521160e-009
-1.150000000000063e+000	-1.149999e+000	-2.521150e-009
-1.140000000000063e+000	-1.140000e+000	-2.521140e-009
-1.130000000000063e+000	-1.130000e+000	-2.521130e-009
-1.120000000000063e+000	-1.120000e+000	-2.521120e-009
-1.110000000000063e+000	-1.110000e+000	-2.521110e-009
-1.100000000000063e+000	-1.100000e+000	-2.521100e-009
-1.090000000000063e+000	-1.089999e+000	-2.521090e-009
-1.080000000000063e+000	-1.079999e+000	-2.521080e-009
-1.070000000000063e+000	-1.069999e+000	-2.521070e-009
-1.060000000000063e+000	-1.059999e+000	-2.521060e-009
-1.050000000000063e+000	-1.049999e+000	-2.521050e-009
-1.040000000000063e+000	-1.039999e+000	-2.521040e-009
-1.030000000000063e+000	-1.029999e+000	-2.521030e-009
-1.020000000000063e+000	-1.020000e+000	-2.521020e-009
-1.010000000000063e+000	-1.010000e+000	-2.521010e-009
-1.000000000000063e+000	-9.999995e-001	-2.521000e-009
-9.900000000000631e-001	-9.899995e-001	-2.520990e-009
-9.800000000000630e-001	-9.799995e-001	-2.520980e-009
-9.700000000000630e-001	-9.699995e-001	-2.520970e-009
-9.600000000000630e-001	-9.599995e-001	-2.520960e-009
-9.500000000000630e-001	-9.499995e-001	-2.520950e-009
-9.400000000000630e-001	-9.399995e-001	-2.520940e-009
-9.300000000000630e-001	-9.299995e-001	-2.520930e-009
-9.200000000000630e-001	-9.199995e-001	-2.520920e-009
-9.100000000000630e-001	-9.099995e-001	-2.520910e-009
-9.000000000000630e-001	-8.999995e-001	-2.520900e-009
-8.900000000000630e-001	-8.899995e-001	-2.520890e-009
-8.800000000000630e-001	-8.799995e-001	-2.520880e-009
-8.700000000000630e-001	-8.699995e-001	-2.520870e-009
-8.600000000000629e-001	-8.599995e-001	-2.520860e-009
-8.500000000000629e-001	-8.499995e-001	-2.520850e-009
-8.400000000000629e-001	-8.399995e-001	-2.520840e-009
-8.300000000000629e-001	-8.299995e-001	-2.520830e-009
-8.200000000000629e-001	-8.199995e-001	-2.520820e-009
-8.100000000000629e-001	-8.099995e-001	-2.520810e-009
-8.000000000000629e-001	-7.999995e-001	-2.520800e-009
-7.900000000000629e-001	-7.899995e-001	-2.520790e-009
-7.800000000000629e-001	-7.799995e-001	-2.520780e-009
-7.700000000000629e-001	-7.699995e-001	-2.520770e-009
-7.600000000000629e-001	-7.599995e-001	-2.520760e-009
-7.500000000000628e-001	-7.499995e-001	-2.520750e-009
-7.400000000000628e-001	-7.399995e-001	-2.520740e-009
-7.300000000000628e-001	-7.299995e-001	-2.520730e-009
-7.200000000000628e-001	-7.199995e-001	-2.520720e-009
-7.100000000000628e-001	-7.099995e-001	-2.520710e-009
-7.000000000000628e-001	-6.999995e-001	-2.520700e-009
-6.900000000000628e-001	-6.899995e-001	-2.520689e-009
-6.800000000000628e-001	-6.799995e-001	-2.520679e-009
-6.700000000000628e-001	-6.699995e-001	-2.520669e-009
-6.600000000000628e-001	-6.599995e-001	-2.520659e-009
-6.500000000000628e-001	-6.499995e-001	-2.520649e-009
-6.400000000000627e-001	-6.399995e-001	-2.520638e-009
-6.300000000000627e-001	-6.299995e-001	-2.520628e-009
-6.200000000000627e-001	-6.199995e-001	-2.520617e-009
-6.100000000000627e-001	-6.099995e-001	-2.520606e-009
-6.000000000000627e-001	-5.999995e-001	-2.520596e-009
-5.900000000000627e-001	-5.899995e-001	-2.520584e-009
