time	V(vo)
4.655442323606644e-002	3.155145e+000
4.665442323606644e-002	3.097981e+000
4.675442323606644e-002	3.039689e+000
4.685442323606644e-002	2.980806e+000
4.695442323606645e-002	2.921834e+000
4.705442323606645e-002	2.863199e+000
4.715442323606645e-002	2.805225e+000
4.725442323606646e-002	2.748135e+000
4.735442323606646e-002	2.692057e+000
4.745442323606646e-002	2.637053e+000
4.755442323606646e-002	2.583144e+000
4.765442323606647e-002	2.530325e+000
4.775442323606647e-002	2.478582e+000
4.785442323606647e-002	2.427896e+000
4.795442323606648e-002	2.378246e+000
4.805442323606648e-002	2.329611e+000
4.815442323606648e-002	2.281971e+000
4.825442323606648e-002	2.235304e+000
4.835442323606649e-002	2.189593e+000
4.845442323606649e-002	2.144816e+000
4.855442323606649e-002	2.100955e+000
4.865442323606650e-002	2.057990e+000
4.875442323606650e-002	2.015904e+000
4.885442323606650e-002	1.974679e+000
4.895442323606650e-002	1.934298e+000
4.905442323606651e-002	1.894741e+000
4.925442323606651e-002	1.818039e+000
4.955442323606652e-002	1.708768e+000
4.971156609320938e-002	1.654310e+000
4.986870895035225e-002	1.601462e+000
5.002585180749511e-002	1.550224e+000
5.018299466463796e-002	1.500596e+000
5.034013752178083e-002	1.452578e+000
5.049728037892369e-002	1.406169e+000
5.065442323606655e-002	1.361371e+000
5.075442323606656e-002	1.333531e+000
5.085442323606656e-002	1.306260e+000
5.095442323606656e-002	1.279547e+000
5.105442323606656e-002	1.253381e+000
5.115442323606657e-002	1.227749e+000
5.125442323606657e-002	1.202643e+000
5.135442323606657e-002	1.178070e+000
5.145442323606658e-002	1.154473e+000
5.155442323606658e-002	1.138160e+000
5.165442323606658e-002	1.152765e+000
5.175442323606658e-002	1.223521e+000
5.185442323606659e-002	1.339782e+000
5.195442323606659e-002	1.469067e+000
5.225442323606660e-002	1.841324e+000
5.255442323606661e-002	2.185127e+000
5.285442323606662e-002	2.497595e+000
5.315442323606662e-002	2.775999e+000
5.345442323606663e-002	3.017940e+000
5.375442323606664e-002	3.221368e+000
5.405442323606665e-002	3.384613e+000
5.435442323606666e-002	3.506415e+000
5.465442323606667e-002	3.585955e+000
5.495442323606668e-002	3.622907e+000
5.505442323606668e-002	3.625784e+000
5.515442323606668e-002	3.623975e+000
5.525442323606668e-002	3.617515e+000
5.545442323606669e-002	3.590832e+000
5.565442323606670e-002	3.546244e+000
5.585442323606670e-002	3.484518e+000
5.595442323606670e-002	3.447563e+000
5.605442323606671e-002	3.406782e+000
5.615442323606671e-002	3.362401e+000
5.625442323606671e-002	3.314690e+000
5.635442323606672e-002	3.263976e+000
5.645442323606672e-002	3.210645e+000
5.655442323606672e-002	3.155145e+000
5.665442323606672e-002	3.097981e+000
5.675442323606673e-002	3.039689e+000
5.685442323606673e-002	2.980806e+000
5.695442323606673e-002	2.921834e+000
5.705442323606674e-002	2.863199e+000
5.715442323606674e-002	2.805225e+000
5.725442323606674e-002	2.748135e+000
5.735442323606674e-002	2.692057e+000
5.745442323606675e-002	2.637053e+000
5.755442323606675e-002	2.583144e+000
5.765442323606675e-002	2.530325e+000
5.775442323606676e-002	2.478582e+000
5.785442323606676e-002	2.427896e+000
5.795442323606676e-002	2.378246e+000
5.805442323606676e-002	2.329611e+000
5.815442323606677e-002	2.281971e+000
5.825442323606677e-002	2.235304e+000
5.835442323606677e-002	2.189593e+000
5.845442323606678e-002	2.144816e+000
5.855442323606678e-002	2.100955e+000
5.865442323606678e-002	2.057990e+000
5.875442323606678e-002	2.015904e+000
5.885442323606679e-002	1.974679e+000
5.895442323606679e-002	1.934298e+000
5.905442323606679e-002	1.894741e+000
5.925442323606680e-002	1.818039e+000
5.955442323606681e-002	1.708768e+000
5.995442323606682e-002	1.573130e+000
6.000000000000000e-002	1.558310e+000
