Time (s),Vin,Inv1,Inv2,Inv3
-0.000854,0,1,1,0
-0.0008535,0,1,1,0
-0.000853,0,1,1,0
-0.0008525,0,1,1,0
-0.000852,0,1,1,0
-0.0008515,0,1,0,0
-0.000851,0,1,0,0
-0.0008505,0,1,0,0
-0.00085,0,1,0,0
-0.0008495,0,1,0,0
-0.000849,0,1,0,0
-0.0008485,0,1,0,0
-0.000848,0,1,0,0
-0.0008474999999999999,0,1,0,0
-0.000847,0,1,0,0
-0.0008465,0,1,0,0
-0.000846,0,1,0,1
-0.0008455,0,1,0,1
-0.000845,0,1,0,1
-0.0008445,0,1,0,1
-0.000844,0,1,0,1
-0.0008435,0,1,0,1
-0.000843,0,1,0,1
-0.0008425,0,1,0,1
-0.000842,0,1,0,1
-0.0008415,0,1,0,1
-0.000841,0,1,0,1
-0.0008405,0,1,0,1
-0.00084,0,1,0,1
-0.0008395,0,1,0,1
-0.000839,0,1,0,1
-0.0008385000000000001,0,1,0,1
-0.000838,0,1,0,1
-0.0008375,0,1,0,1
-0.000837,1,1,0,1
-0.0008365,1,0,0,1
-0.000836,1,0,0,1
-0.0008355,1,0,0,1
-0.000835,1,0,0,1
-0.0008345,1,0,0,1
-0.000834,1,0,1,1
-0.0008335,1,0,1,1
-0.000833,1,0,1,1
-0.0008325,1,0,1,1
-0.0008319999999999999,1,0,1,1
-0.0008315,1,0,1,1
-0.000831,1,0,1,1
-0.0008305,1,0,1,0
-0.00083,1,0,1,0
-0.0008295000000000001,1,0,1,0
-0.000829,1,0,1,0
-0.0008285,1,0,1,0
-0.000828,1,0,1,0
-0.0008275,1,0,1,0
-0.000827,1,0,1,0
-0.0008265,1,0,1,0
-0.000826,1,0,1,0
-0.0008255,1,0,1,0
-0.000825,1,0,1,0
-0.0008245,1,0,1,0
-0.000824,1,0,1,0
-0.0008235,1,0,1,0
-0.0008229999999999999,1,0,1,0
-0.0008225,1,0,1,0
-0.000822,1,0,1,0
-0.0008215,1,0,1,0
-0.000821,1,0,1,0
-0.0008205,1,0,1,0
-0.00082,1,0,1,0
-0.0008195,1,0,1,0
-0.000819,1,0,1,0
-0.0008185,1,0,1,0
-0.000818,1,0,1,0
-0.0008175,1,0,1,0
-0.000817,0,0,1,0
-0.0008165,0,0,1,0
-0.000816,0,0,1,0
-0.0008155,0,1,1,0
-0.000815,0,1,1,0
-0.0008145,0,1,1,0
-0.0008140000000000001,0,1,1,0
-0.0008135,0,1,1,0
-0.000813,0,1,1,0
-0.0008125,0,1,1,0
-0.000812,0,1,1,0
-0.0008115,0,1,0,0
-0.000811,0,1,0,0
-0.0008105,0,1,0,0
-0.00081,0,1,0,0
-0.0008095,0,1,0,0
-0.000809,0,1,0,0
-0.0008085,0,1,0,0
-0.000808,0,1,0,0
-0.0008074999999999999,0,1,0,0
-0.000807,0,1,0,0
-0.0008065,0,1,0,0
-0.000806,0,1,0,1
-0.0008055,0,1,0,1
-0.0008050000000000001,0,1,0,1
-0.0008045,0,1,0,1
-0.000804,0,1,0,1
-0.0008035,0,1,0,1
-0.000803,0,1,0,1
-0.0008025,0,1,0,1
-0.000802,0,1,0,1
-0.0008015,0,1,0,1
-0.000801,0,1,0,1
-0.0008005,0,1,0,1
-0.0008,0,1,0,1
-0.0007995,0,1,0,1
-0.000799,0,1,0,1
-0.0007984999999999999,0,1,0,1
-0.000798,0,1,0,1
-0.0007975,0,1,0,1
-0.000797,1,1,0,1
-0.0007965,1,0,0,1
-0.000796,1,0,0,1
-0.0007955,1,0,0,1
-0.000795,1,0,0,1
-0.0007945,1,0,0,1
-0.000794,1,0,1,1
-0.0007935,1,0,1,1
-0.000793,1,0,1,1
-0.0007925,1,0,1,1
-0.000792,1,0,1,1
-0.0007915,1,0,1,1
-0.000791,1,0,1,1
-0.0007905,1,0,1,0
-0.00079,1,0,1,0
-0.0007895000000000001,1,0,1,0
-0.000789,1,0,1,0
-0.0007885,1,0,1,0
-0.000788,1,0,1,0
-0.0007875,1,0,1,0
-0.000787,1,0,1,0
-0.0007865,1,0,1,0
-0.000786,1,0,1,0
-0.0007855,1,0,1,0
-0.000785,1,0,1,0
-0.0007845,1,0,1,0
-0.000784,1,0,1,0
-0.0007835,1,0,1,0
-0.000783,1,0,1,0
-0.0007825,1,0,1,0
-0.000782,1,0,1,0
-0.0007815,1,0,1,0
-0.000781,1,0,1,0
-0.0007805000000000001,1,0,1,0
-0.00078,1,0,1,0
-0.0007795,1,0,1,0
-0.000779,1,0,1,0
-0.0007785,1,0,1,0
-0.000778,1,0,1,0
-0.0007775,1,0,1,0
-0.000777,0,0,1,0
-0.0007765,0,0,1,0
-0.000776,0,0,1,0
-0.0007755,0,1,1,0
-0.000775,0,1,1,0
-0.0007745,0,1,1,0
-0.0007739999999999999,0,1,1,0
-0.0007735,0,1,1,0
-0.000773,0,1,1,0
-0.0007725,0,1,1,0
-0.000772,0,1,1,0
-0.0007715000000000001,0,1,0,0
-0.000771,0,1,0,0
-0.0007705,0,1,0,0
-0.00077,0,1,0,0
-0.0007695,0,1,0,0
-0.000769,0,1,0,0
-0.0007685,0,1,0,0
-0.000768,0,1,0,0
-0.0007675,0,1,0,0
-0.000767,0,1,0,0
-0.0007665,0,1,0,0
-0.000766,0,1,0,1
-0.0007655,0,1,0,1
-0.0007649999999999999,0,1,0,1
-0.0007645,0,1,0,1
-0.000764,0,1,0,1
-0.0007635,0,1,0,1
-0.000763,0,1,0,1
-0.0007625,0,1,0,1
-0.000762,0,1,0,1
-0.0007615,0,1,0,1
-0.000761,0,1,0,1
-0.0007605,0,1,0,1
-0.00076,0,1,0,1
-0.0007595,0,1,0,1
-0.000759,0,1,0,1
-0.0007585,0,1,0,1
-0.000758,0,1,0,1
-0.0007575,0,1,0,1
-0.000757,1,1,0,1
-0.0007565,1,0,0,1
-0.0007560000000000001,1,0,0,1
-0.0007555,1,0,0,1
-0.000755,1,0,0,1
-0.0007545,1,0,0,1
-0.000754,1,0,1,1
-0.0007535,1,0,1,1
-0.000753,1,0,1,1
-0.0007525,1,0,1,1
-0.000752,1,0,1,1
-0.0007515,1,0,1,1
-0.000751,1,0,1,1
-0.0007505,1,0,1,0
-0.00075,1,0,1,0
-0.0007494999999999999,1,0,1,0
-0.000749,1,0,1,0
