Freq.	V(vo)	V(n004)
7.74408309456245e+003	(-1.64807857806711e+001dB,-1.29678074766245e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.77982815802542e+003	(-1.64808041732321e+001dB,-1.30276468588626e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.81573821320481e+003	(-1.64808227358991e+001dB,-1.30877622065973e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.85181402166781e+003	(-1.64808414702443e+001dB,-1.31481547902832e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.88805634849679e+003	(-1.64808603778550e+001dB,-1.32088258861927e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.92446596230561e+003	(-1.64808794603328e+001dB,-1.32697767764420e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.96104363525590e+003	(-1.64808987192941e+001dB,-1.33310087490176e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
7.99779014307339e+003	(-1.64809181563705e+001dB,-1.33925230978024e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.03470626506443e+003	(-1.64809377732083e+001dB,-1.34543211226028e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.07179278413248e+003	(-1.64809575714692e+001dB,-1.35164041291748e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.10905048679470e+003	(-1.64809775528304e+001dB,-1.35787734292511e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.14648016319866e+003	(-1.64809977189843e+001dB,-1.36414303405680e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.18408260713909e+003	(-1.64810180716390e+001dB,-1.37043761868921e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.22185861607471e+003	(-1.64810386125185e+001dB,-1.37676122980477e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.25980899114513e+003	(-1.64810593433627e+001dB,-1.38311400099441e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.29793453718786e+003	(-1.64810802659273e+001dB,-1.38949606646025e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.33623606275537e+003	(-1.64811013819846e+001dB,-1.39590756101840e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.37471438013224e+003	(-1.64811226933229e+001dB,-1.40234862010167e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.41337030535239e+003	(-1.64811442017474e+001dB,-1.40881937976240e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.45220465821638e+003	(-1.64811659090797e+001dB,-1.41531997667515e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.49121826230878e+003	(-1.64811878171581e+001dB,-1.42185054813959e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.53041194501568e+003	(-1.64812099278383e+001dB,-1.42841123208325e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.56978653754219e+003	(-1.64812322429928e+001dB,-1.43500216706433e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.60934287493009e+003	(-1.64812547645114e+001dB,-1.44162349227458e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.64908179607557e+003	(-1.64812774943015e+001dB,-1.44827534754207e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.68900414374694e+003	(-1.64813004342879e+001dB,-1.45495787333410e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.72911076460258e+003	(-1.64813235864135e+001dB,-1.46167121076005e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.76940250920887e+003	(-1.64813469526388e+001dB,-1.46841550157423e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.80988023205821e+003	(-1.64813705349425e+001dB,-1.47519088817880e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.85054479158717e+003	(-1.64813943353217e+001dB,-1.48199751362665e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.89139705019468e+003	(-1.64814183557918e+001dB,-1.48883552162432e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.93243787426032e+003	(-1.64814425983869e+001dB,-1.49570505653494e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
8.97366813416270e+003	(-1.64814670651596e+001dB,-1.50260626338115e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.01508870429791e+003	(-1.64814917581818e+001dB,-1.50953928784803e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.05670046309808e+003	(-1.64815166795445e+001dB,-1.51650427628612e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.09850429304999e+003	(-1.64815418313576e+001dB,-1.52350137571431e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.14050108071378e+003	(-1.64815672157510e+001dB,-1.53053073382292e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.18269171674180e+003	(-1.64815928348740e+001dB,-1.53759249897662e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.22507709589744e+003	(-1.64816186908956e+001dB,-1.54468682021749e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.26765811707413e+003	(-1.64816447860050e+001dB,-1.55181384726803e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.31043568331441e+003	(-1.64816711224117e+001dB,-1.55897373053418e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
9.35341070182908e+003	(-1.64816977023454e+001dB,-1.56616662110840e+000°)	(-3.64781748188864e+001dB,0.00000000000000e+000°)
