vi	V(vd1)	V(vo)	I(Red)
-8.820000000000025e+000	-3.169646e-008	-1.347777e+001	-1.348776e-011
-8.810000000000025e+000	-3.169177e-008	-1.347776e+001	-1.348776e-011
-8.800000000000026e+000	-3.168708e-008	-1.347776e+001	-1.348776e-011
-8.790000000000026e+000	-3.168239e-008	-1.347776e+001	-1.348776e-011
-8.780000000000026e+000	-3.167770e-008	-1.347776e+001	-1.348776e-011
-8.770000000000026e+000	-3.167301e-008	-1.347776e+001	-1.348776e-011
-8.760000000000026e+000	-3.166832e-008	-1.347776e+001	-1.348776e-011
-8.750000000000027e+000	-3.166363e-008	-1.347776e+001	-1.348776e-011
-8.740000000000027e+000	-3.165894e-008	-1.347775e+001	-1.348776e-011
-8.730000000000027e+000	-3.165425e-008	-1.347775e+001	-1.348775e-011
-8.720000000000027e+000	-3.164956e-008	-1.347775e+001	-1.348775e-011
-8.710000000000028e+000	-3.164487e-008	-1.347775e+001	-1.348775e-011
-8.700000000000028e+000	-3.164017e-008	-1.347775e+001	-1.348775e-011
-8.690000000000028e+000	-3.163548e-008	-1.347775e+001	-1.348775e-011
-8.680000000000028e+000	-3.163079e-008	-1.347775e+001	-1.348775e-011
-8.670000000000028e+000	-3.162610e-008	-1.347775e+001	-1.348775e-011
-8.660000000000029e+000	-3.162141e-008	-1.347775e+001	-1.348774e-011
-8.650000000000029e+000	-3.161672e-008	-1.347774e+001	-1.348774e-011
-8.640000000000029e+000	-3.161203e-008	-1.347774e+001	-1.348774e-011
-8.630000000000029e+000	-3.160734e-008	-1.347774e+001	-1.348774e-011
-8.620000000000029e+000	-3.160265e-008	-1.347774e+001	-1.348774e-011
-8.610000000000030e+000	-3.159796e-008	-1.347774e+001	-1.348774e-011
-8.600000000000030e+000	-3.159327e-008	-1.347774e+001	-1.348774e-011
-8.590000000000030e+000	-3.158857e-008	-1.347774e+001	-1.348774e-011
-8.580000000000030e+000	-3.158388e-008	-1.347774e+001	-1.348774e-011
-8.570000000000031e+000	-3.157919e-008	-1.347773e+001	-1.348773e-011
-8.560000000000031e+000	-3.157450e-008	-1.347773e+001	-1.348773e-011
-8.550000000000031e+000	-3.156981e-008	-1.347773e+001	-1.348773e-011
-8.540000000000031e+000	-3.156512e-008	-1.347773e+001	-1.348773e-011
-8.530000000000031e+000	-3.156043e-008	-1.347773e+001	-1.348773e-011
-8.520000000000032e+000	-3.155574e-008	-1.347773e+001	-1.348773e-011
-8.510000000000032e+000	-3.155105e-008	-1.347773e+001	-1.348773e-011
-8.500000000000032e+000	-3.154636e-008	-1.347773e+001	-1.348773e-011
-8.490000000000032e+000	-3.154167e-008	-1.347772e+001	-1.348772e-011
-8.480000000000032e+000	-3.153698e-008	-1.347772e+001	-1.348772e-011
-8.470000000000033e+000	-3.153228e-008	-1.347772e+001	-1.348772e-011
-8.460000000000033e+000	-3.152759e-008	-1.347772e+001	-1.348772e-011
-8.450000000000033e+000	-3.152290e-008	-1.347772e+001	-1.348772e-011
-8.440000000000033e+000	-3.151821e-008	-1.347772e+001	-1.348772e-011
-8.430000000000034e+000	-3.151352e-008	-1.347772e+001	-1.348772e-011
-8.420000000000034e+000	-3.150883e-008	-1.347772e+001	-1.348772e-011
-8.410000000000034e+000	-3.150414e-008	-1.347771e+001	-1.348771e-011
-8.400000000000034e+000	-3.149945e-008	-1.347771e+001	-1.348771e-011
-8.390000000000034e+000	-3.149476e-008	-1.347771e+001	-1.348771e-011
-8.380000000000035e+000	-3.149007e-008	-1.347771e+001	-1.348771e-011
-8.370000000000035e+000	-3.148538e-008	-1.347771e+001	-1.348771e-011
-8.360000000000035e+000	-3.148068e-008	-1.347771e+001	-1.348771e-011
-8.350000000000035e+000	-3.147600e-008	-1.347771e+001	-1.348771e-011
-8.340000000000035e+000	-3.147131e-008	-1.347771e+001	-1.348771e-011
-8.330000000000036e+000	-3.146661e-008	-1.347771e+001	-1.348770e-011
-8.320000000000036e+000	-3.146192e-008	-1.347770e+001	-1.348770e-011
-8.310000000000036e+000	-3.145723e-008	-1.347770e+001	-1.348770e-011
-8.300000000000036e+000	-3.145254e-008	-1.347770e+001	-1.348770e-011
-8.290000000000037e+000	-3.144785e-008	-1.347770e+001	-1.348770e-011
