Freq.	V(vo)
8.76940250920887e+003	(5.18160821726803e+001dB,-8.99791307214263e+001°)
8.80988023205821e+003	(5.17760822168187e+001dB,-8.99799459272344e+001°)
8.85054479158717e+003	(5.17360822591771e+001dB,-8.99807607077512e+001°)
8.89139705019468e+003	(5.16960822997592e+001dB,-8.99815750802561e+001°)
8.93243787426032e+003	(5.16560823385684e+001dB,-8.99823890620195e+001°)
8.97366813416270e+003	(5.16160823756079e+001dB,-8.99832026703038e+001°)
9.01508870429791e+003	(5.15760824108810e+001dB,-8.99840159223634e+001°)
9.05670046309808e+003	(5.15360824443905e+001dB,-8.99848288354450e+001°)
9.09850429304999e+003	(5.14960824761394e+001dB,-8.99856414267883e+001°)
9.14050108071378e+003	(5.14560825061304e+001dB,-8.99864537136261e+001°)
9.18269171674180e+003	(5.14160825343659e+001dB,-8.99872657131847e+001°)
9.22507709589744e+003	(5.13760825608484e+001dB,-8.99880774426844e+001°)
9.26765811707413e+003	(5.13360825855802e+001dB,-8.99888889193397e+001°)
9.31043568331441e+003	(5.12960826085632e+001dB,-8.99897001603598e+001°)
9.35341070182908e+003	(5.12560826297996e+001dB,-8.99905111829488e+001°)
9.39658408401642e+003	(5.12160826492910e+001dB,-8.99913220043063e+001°)
9.43995674548154e+003	(5.11760826670392e+001dB,-8.99921326416275e+001°)
9.48352960605581e+003	(5.11360826830456e+001dB,-8.99929431121039e+001°)
9.52730358981631e+003	(5.10960826973116e+001dB,-8.99937534329233e+001°)
9.57127962510551e+003	(5.10560827098384e+001dB,-8.99945636212702e+001°)
9.61545864455087e+003	(5.10160827206270e+001dB,-8.99953736943267e+001°)
9.65984158508470e+003	(5.09760827296785e+001dB,-8.99961836692720e+001°)
9.70442938796397e+003	(5.09360827369935e+001dB,-8.99969935632835e+001°)
9.74922299879031e+003	(5.08960827425726e+001dB,-8.99978033935368e+001°)
9.79422336753003e+003	(5.08560827464164e+001dB,-8.99986131772062e+001°)
9.83943144853431e+003	(5.08160827485252e+001dB,-8.99994229314648e+001°)
9.88484820055939e+003	(5.07760827488992e+001dB,-9.00002326734855e+001°)
9.93047458678694e+003	(5.07360827475383e+001dB,-9.00010424204406e+001°)
9.97631157484449e+003	(5.06960827444424e+001dB,-9.00018521895025e+001°)
1.00223601368259e+004	(5.06560827396114e+001dB,-9.00026619978441e+001°)
1.00686212493120e+004	(5.06160827330448e+001dB,-9.00034718626395e+001°)
1.01150958933914e+004	(5.05760827247420e+001dB,-9.00042818010633e+001°)
1.01617850546812e+004	(5.05360827147023e+001dB,-9.00050918302924e+001°)
1.02086897233477e+004	(5.04960827029249e+001dB,-9.00059019675050e+001°)
1.02558108941279e+004	(5.04560826894089e+001dB,-9.00067122298820e+001°)
1.03031495663501e+004	(5.04160826741529e+001dB,-9.00075226346069e+001°)
1.03507067439553e+004	(5.03760826571558e+001dB,-9.00083331988660e+001°)
1.03984834355186e+004	(5.03360826384160e+001dB,-9.00091439398491e+001°)
1.04464806542703e+004	(5.02960826179321e+001dB,-9.00099548747499e+001°)
1.04946994181177e+004	(5.02560825957023e+001dB,-9.00107660207659e+001°)
1.05431407496665e+004	(5.02160825717246e+001dB,-9.00115773950995e+001°)
1.05918056762426e+004	(5.01760825459971e+001dB,-9.00123890149574e+001°)
1.06406952299137e+004	(5.01360825185175e+001dB,-9.00132008975521e+001°)
1.06898104475113e+004	(5.00960824892836e+001dB,-9.00140130601012e+001°)
1.07391523706528e+004	(5.00560824582929e+001dB,-9.00148255198284e+001°)
1.07887220457634e+004	(5.00160824255427e+001dB,-9.00156382939638e+001°)
1.08385205240986e+004	(4.99760823910302e+001dB,-9.00164513997441e+001°)
1.08885488617659e+004	(4.99360823547525e+001dB,-9.00172648544129e+001°)
1.09388081197479e+004	(4.98960823167066e+001dB,-9.00180786752213e+001°)
1.09892993639242e+004	(4.98560822768893e+001dB,-9.00188928794283e+001°)
1.10400236650946e+004	(4.98160822352970e+001dB,-9.00197074843008e+001°)
1.10909820990012e+004	(4.97760821919264e+001dB,-9.00205225071144e+001°)
1.11421757463516e+004	(4.97360821467737e+001dB,-9.00213379651533e+001°)
1.11936056928418e+004	(4.96960820998351e+001dB,-9.00221538757112e+001°)
1.12452730291790e+004	(4.96560820511066e+001dB,-9.00229702560913e+001°)
1.12971788511050e+004	(4.96160820005841e+001dB,-9.00237871236067e+001°)
1.13493242594192e+004	(4.95760819482633e+001dB,-9.00246044955808e+001°)
1.14017103600022e+004	(4.95360818941398e+001dB,-9.00254223893480e+001°)
1.14543382638390e+004	(4.94960818382090e+001dB,-9.00262408222532e+001°)
1.15072090870427e+004	(4.94560817804661e+001dB,-9.00270598116534e+001°)
1.15603239508781e+004	(4.94160817209062e+001dB,-9.00278793749169e+001°)
1.16136839817857e+004	(4.93760816595242e+001dB,-9.00286995294243e+001°)
1.16672903114051e+004	(4.93360815963151e+001dB,-9.00295202925689e+001°)
1.17211440765997e+004	(4.92960815312733e+001dB,-9.00303416817567e+001°)
1.17752464194802e+004	(4.92560814643935e+001dB,-9.00311637144070e+001°)
1.18295984874289e+004	(4.92160813956699e+001dB,-9.00319864079529e+001°)
1.18842014331245e+004	(4.91760813250966e+001dB,-9.00328097798413e+001°)
1.19390564145660e+004	(4.91360812526678e+001dB,-9.00336338475337e+001°)
1.19941645950976e+004	(4.90960811783772e+001dB,-9.00344586285062e+001°)
1.20495271434331e+004	(4.90560811022185e+001dB,-9.00352841402501e+001°)
1.21051452336810e+004	(4.90160810241854e+001dB,-9.00361104002721e+001°)
1.21610200453692e+004	(4.89760809442711e+001dB,-9.00369374260949e+001°)
1.22171527634700e+004	(4.89360808624689e+001dB,-9.00377652352573e+001°)
1.22735445784253e+004	(4.88960807787719e+001dB,-9.00385938453149e+001°)
1.23301966861718e+004	(4.88560806931729e+001dB,-9.00394232738400e+001°)
1.23871102881666e+004	(4.88160806056648e+001dB,-9.00402535384225e+001°)
1.24442865914121e+004	(4.87760805162400e+001dB,-9.00410846566700e+001°)
1.25017268084823e+004	(4.87360804248910e+001dB,-9.00419166462081e+001°)
1.25594321575480e+004	(4.86960803316100e+001dB,-9.00427495246809e+001°)
1.26174038624030e+004	(4.86560802363891e+001dB,-9.00435833097513e+001°)
1.26756431524897e+004	(4.86160801392203e+001dB,-9.00444180191016e+001°)
1.27341512629254e+004	(4.85760800400953e+001dB,-9.00452536704336e+001°)
1.27929294345284e+004	(4.85360799390057e+001dB,-9.00460902814690e+001°)
1.28519789138445e+004	(4.84960798359429e+001dB,-9.00469278699499e+001°)
1.29113009531731e+004	(4.84560797308982e+001dB,-9.00477664536393e+001°)
1.29708968105942e+004	(4.84160796238626e+001dB,-9.00486060503209e+001°)
1.30307677499946e+004	(4.83760795148271e+001dB,-9.00494466778002e+001°)
1.30909150410951e+004	(4.83360794037825e+001dB,-9.00502883539046e+001°)
1.31513399594771e+004	(4.82960792907193e+001dB,-9.00511310964835e+001°)
1.32120437866099e+004	(4.82560791756279e+001dB,-9.00519749234091e+001°)
1.32730278098779e+004	(4.82160790584986e+001dB,-9.00528198525764e+001°)
1.33342933226076e+004	(4.81760789393214e+001dB,-9.00536659019039e+001°)
1.33958416240953e+004	(4.81360788180862e+001dB,-9.00545130893340e+001°)
1.34576740196347e+004	(4.80960786947827e+001dB,-9.00553614328328e+001°)
1.35197918205444e+004	(4.80560785694005e+001dB,-9.00562109503915e+001°)
1.35821963441956e+004	(4.80160784419289e+001dB,-9.00570616600257e+001°)
1.36448889140404e+004	(4.79760783123572e+001dB,-9.00579135797764e+001°)
1.37078708596396e+004	(4.79360781806743e+001dB,-9.00587667277104e+001°)
1.37711435166910e+004	(4.78960780468691e+001dB,-9.00596211219205e+001°)
1.38347082270577e+004	(4.78560779109301e+001dB,-9.00604767805258e+001°)
1.38985663387966e+004	(4.78160777728460e+001dB,-9.00613337216723e+001°)
1.39627192061869e+004	(4.77760776326049e+001dB,-9.00621919635332e+001°)
1.40271681897587e+004	(4.77360774901950e+001dB,-9.00630515243093e+001°)
